n_substep,mode,step,time,pinn_rmse,pinn_pre_rmse,flux_s,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,R_xi_rmse,CFL,S_post_max
1000,full,4,0.04,0.002322581372916168,0.002551928333403746,29.960407601000043,29.955917015002342,nan,nan,nan,nan,1.931048287972293e-15,0.21975576755632,0.979068226355711
1000,full,5,0.05,0.0023170949142585075,0.0025105954321056967,30.59010663299705,30.585917169009917,nan,nan,nan,nan,1.928865725079964e-15,0.2198963738294961,0.9828798668728016
1000,k_last_layer,1,0.01,0.002483011332562616,0.0025260527184056726,16.770605555997463,16.766552241999307,nan,nan,nan,nan,1.9300719630667227e-15,0.21866699334127299,0.9323870941958035
1000,k_last_layer,2,0.02,0.0026245911092566093,0.0029738620298124466,15.132964267002535,15.128287603001809,nan,nan,nan,nan,1.9300266463093262e-15,0.21952915106792245,0.9617072978418083
1000,k_last_layer,3,0.03,0.0026097532386264665,0.0028251282043132275,15.138737999994191,15.135269017002429,nan,nan,nan,nan,1.9312992119758696e-15,0.2196034445097441,0.9729981166707645
1000,k_last_layer,4,0.04,0.0026342601342758927,0.0027806227666600236,15.231698222007253,15.228020328999264,nan,nan,nan,nan,1.9292386994540814e-15,0.21961136026193412,0.9790682263557107
1000,k_last_layer,5,0.05,0.002609880210906157,0.002736538820278721,15.774330614993232,15.770793089002836,nan,nan,nan,nan,1.929587720764621e-15,0.21985427087088058,0.9828798668728007
1000,last_layer,1,0.01,0.0025242899761119086,0.0025260527184056726,0.010355225997045636,0.0021826890006195754,0.0008382919913856313,0.001010819003568031,0.00023762699856888503,8.284099749289453e-05,1.929600962429938e-15,0.2187355920959264,0.9323870941958032
1000,last_layer,2,0.02,0.0028945918721017564,0.0030161355283266677,0.008614232006948441,0.0019704949954757467,0.0007584800041513517,0.0008846669952617958,0.00024195799778681248,7.591400935780257e-05,1.932422066742409e-15,0.2195163353696061,0.96170729784181
1000,last_layer,3,0.03,0.0029386579281774168,0.0029687902219256565,0.007980034992215224,0.0019168200087733567,0.0007359739975072443,0.0008953429933171719,0.00020043300173711032,7.879699114710093e-05,1.931336760879996e-15,0.21963812561668117,0.9729981166707687
1000,last_layer,4,0.04,0.0030585766994014464,0.0030721464687744737,0.010091456002555788,0.002165850004530512,0.0007628919993294403,0.000989979991572909,0.00031337600375991315,9.215199679601938e-05,1.932404116751336e-15,0.21974886739421284,0.9790682263557147
1000,last_layer,5,0.05,0.003106765531687417,0.003127110304550595,0.00844657901325263,0.003151696000713855,0.0009781480039237067,0.0015429159975610673,0.0003951029939344153,0.00022653200721833855,1.930058505696927e-15,0.2198756078459593,0.9828798668728053
