n_substep,mode,label,step,frozen_rmse,pre_update_rmse,mode_rmse,improvement_percent,step_update_percent
1,full,Full,1,0.0025260527184056726,0.0025260527184056726,0.0023725514096236628,6.076726256089096,6.076726256089096
1,full,Full,2,0.0025261748094656086,0.0023726015428294617,0.0023180300865982897,8.239521749935832,2.3000683109264286
1,full,Full,3,0.002526347966987083,0.0023181384354777975,0.002284850228407082,9.559163731036247,1.43598874688665
1,full,Full,4,0.0025265721931459714,0.0022849524793067066,0.0022606514253372444,10.524962181176177,1.063525573925087
1,full,Full,5,0.0025268473773098405,0.002260760936294162,0.0022444139122724488,11.1773060602528,0.7230761890511678
1,k_last_layer,K-last,1,0.0025260527184056726,0.0025260527184056726,0.002483011332562616,1.7038989538675262,1.7038989538675262
1,k_last_layer,K-last,2,0.0025261748094656086,0.0024830993187429356,0.0024711408218827655,2.178550248250044,0.4815955918438256
1,k_last_layer,K-last,3,0.002526347966987083,0.002471239540355088,0.002471239540355088,2.181347437174975,0.0
1,k_last_layer,K-last,4,0.0025265721931459714,0.002471390638824651,0.002471390638824651,2.1840481926863413,0.0
1,k_last_layer,K-last,5,0.0025268473773098405,0.0024715940605573522,0.0024715940605573522,2.186650339416727,0.0
1,last_layer,Linear last,1,0.0025260527184056726,0.0025260527184056726,0.0025242899761119086,0.06978248240506033,0.06978248240506033
1,last_layer,Linear last,2,0.0025261748094656086,0.0025244067040998343,0.0025243995126527584,0.07027608723664519,0.0002848767222880386
1,last_layer,Linear last,3,0.002526347966987083,0.0025245529270557865,0.00252454571809932,0.07133810984526233,0.000285553786147205
1,last_layer,Linear last,4,0.0025265721931459714,0.002524735795852831,0.002524728575765258,0.07296911545669611,0.0002859739852704961
1,last_layer,Linear last,5,0.0025268473773098405,0.00252495520887207,0.0025249479842974327,0.07516848977360915,0.00028612684343594066
1000,full,Full,1,0.0025260527184056726,0.0025260527184056726,0.0023725514096236628,6.076726256089096,6.076726256089096
1000,full,Full,2,0.003015434050468477,0.0028673780944131104,0.002359110649029272,21.76547025915685,17.72586065207664
1000,full,Full,3,0.003069574077778396,0.0027105814662533173,0.0023373209674701673,23.85520244027461,13.770495498114904
1000,full,Full,4,0.0031815331978537636,0.002551928333403746,0.002322581372916168,26.998046901319064,8.987202245671078
1000,full,Full,5,0.003251748244244446,0.0025105954321056967,0.0023170949142585075,28.7431024723474,7.707355608661159
1000,k_last_layer,K-last,1,0.0025260527184056726,0.0025260527184056726,0.002483011332562616,1.7038989538675262,1.7038989538675262
1000,k_last_layer,K-last,2,0.003015434050468477,0.0029738620298124466,0.0026245911092566093,12.961415659252985,11.744691483816581
1000,k_last_layer,K-last,3,0.003069574077778396,0.0028251282043132275,0.0026097532386264665,14.979955769131488,7.62354661844868
1000,k_last_layer,K-last,4,0.0031815331978537636,0.0027806227666600236,0.0026342601342758927,17.20155125041778,5.263663742490896
1000,k_last_layer,K-last,5,0.003251748244244446,0.002736538820278721,0.002609880210906157,19.739167522405445,4.628423628927863
1000,last_layer,Linear last,1,0.0025260527184056726,0.0025260527184056726,0.0025242899761119086,0.06978248240506033,0.06978248240506033
1000,last_layer,Linear last,2,0.003015434050468477,0.0030161355283266677,0.0028945918721017564,4.007455521965291,4.029780992379439
1000,last_layer,Linear last,3,0.003069574077778396,0.0029687902219256565,0.0029386579281774168,4.26496140128111,1.0149687750148573
1000,last_layer,Linear last,4,0.0031815331978537636,0.0030721464687744737,0.0030585766994014464,3.864693240833151,0.4417032036379584
1000,last_layer,Linear last,5,0.003251748244244446,0.003127110304550595,0.003106765531687417,4.458608159892043,0.6505933875620685
