step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,R_xi_int_mean_abs,R_xi_int_median_abs,R_xi_int_rmse,R_xi_int_max_abs,R_xi_int_sum,R_xi_src_mean_abs,R_xi_src_median_abs,R_xi_src_rmse,R_xi_src_max_abs,R_xi_src_sum,R_xi_bnd_mean_abs,R_xi_bnd_median_abs,R_xi_bnd_rmse,R_xi_bnd_max_abs,R_xi_bnd_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,0.01,NLR,1.0,0.018386711992206983,0.04319044700241648,0.2728494660113938,0.4081635100010317,0.0,0.0,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839002498104428e-05,3.8163916471489756e-17,0.00033278346200224225,0.014347225884695725,-0.00012223253575503775,5.201929032084464e-16,3.122502256758253e-17,2.15547926295181e-15,4.9835136017861714e-14,1.45002784268004e-12,1.627170620466245e-15,7.771561172376096e-16,3.0914310386187756e-15,8.43769498715119e-15,5.6343818499726694e-15,0.00030350724821424783,3.594289469265448e-05,0.0013519328143841093,0.014347225884695725,-0.00012223253720506635,0.21846621523791998,0,0.0,0.9323870941957624,0.0,0.9323870941957624,2.636779683484747e-16,0.010000000000000024,1000,1e-05
2,0.02,NLR,1.0,0.016669417003868148,0.06747757400444243,0.26956351699482184,0.385804402991198,0.5171271767016873,0.14808232921281855,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8605568245705646e-05,3.8163916471489756e-17,0.00033454262555985306,0.014409425538243426,-0.00012307173165807266,5.082269293182914e-16,3.122502256758253e-17,2.1328503862371957e-15,5.096617572419859e-14,1.4632749380139002e-12,9.055256544598933e-16,4.163336342344337e-16,1.593379160522841e-15,4.218847493575595e-15,4.746203430272544e-15,0.0003070645540472235,3.587441379485545e-05,0.001359079416336903,0.014409425538243426,-0.0001230717331213542,0.21941199995596747,0,0.0,0.9617072978417293,0.0,0.9617072978417293,2.671474153004283e-16,0.020000000000000052,1000,1e-05
3,0.03,NLR,1.0,0.017130339998402633,0.06501294000190683,0.29011606199492235,0.3756770749896532,0.21530674785064888,0.12487870549864541,nan,nan,,0.0,nan,nan,nan,nan,0,,1.860289690478927e-05,3.903127820947816e-17,0.00033457245219899325,0.014411428476273747,-0.00012318943494931257,5.007379868851894e-16,3.0357660829594124e-17,1.9092343470019456e-15,2.943478794037446e-14,1.503261498393105e-12,5.759281940243e-16,4.996003610813204e-16,7.314528956472687e-16,1.5543122344752192e-15,1.1657341758564144e-15,0.00030702046648729386,3.5800802690330764e-05,0.0013592005870584102,0.014411428476273747,-0.00012318943645258295,0.21944235574150714,0,0.0,0.9729981166706413,0.0,0.9729981166706413,2.688821387764051e-16,0.030000000000000082,1000,1e-05
4,0.04,NLR,1.0,0.015065536994370632,0.05283669999334961,0.27099775000533555,0.40114460700715426,0.1815481979802499,0.09743067554059735,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8588511648382325e-05,3.642919299551295e-17,0.0003346158770937931,0.014415984327298625,-0.00012278381283462793,4.8694129714677e-16,2.949029909160572e-17,1.9744823351136126e-15,3.478120569333498e-14,1.3854268976651546e-12,1.3114509478384662e-15,4.440892098500626e-16,2.435304636127902e-15,6.661338147750939e-15,6.38378239159465e-15,0.0003067830535643853,3.5733201633421255e-05,0.0013593770006935344,0.014415984327298625,-0.0001227838142200603,0.21951106135076917,0,0.0,0.9790682263555494,0.0,0.9790682263555494,2.6194324487249787e-16,0.040000000000000105,1000,1e-05
5,0.05,NLR,1.0,0.02047107800899539,0.06161457499547396,0.2767418939911295,0.39344548199733254,0.17999350010904155,0.08779205275361568,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8581766257250668e-05,3.686287386450715e-17,0.00033480288230868053,0.014428011198455604,-0.00012244060348490018,5.170192910231322e-16,2.949029909160572e-17,2.171495007501793e-15,5.160455396335806e-14,1.3051743761010714e-12,1.2455314557513475e-15,3.7470027081099033e-16,2.4384066971712275e-15,6.661338147750939e-15,8.021361352916756e-15,0.00030667172826106257,3.5878788282694366e-05,0.0013601367093790146,0.014428011198455604,-0.00012244060479007254,0.21969264271371777,0,0.0,0.9828798668725918,0.0,0.9828798668725918,2.8275992658421956e-16,0.05000000000000015,1000,1e-05
6,0.06,NLR,1.0,0.016990766001981683,0.06232077600725461,0.27381744800368324,0.47416196200356353,0.1363721436336166,0.06838940833179101,nan,nan,,0.0,nan,nan,nan,nan,0,,1.856805607720212e-05,3.642919299551295e-17,0.000334929177553708,0.014437857855617908,-0.00012217985548299945,4.751773690116934e-16,2.7755575615628914e-17,1.8968400600074716e-15,3.2862601528904634e-14,1.308014072956164e-12,1.0824674490095276e-15,5.273559366969494e-16,1.6267230076408405e-15,3.552713678800501e-15,7.438494264988549e-15,0.0003064454567355195,3.565340375017616e-05,0.0013606497838119385,0.014437857855617908,-0.00012217985679101036,0.21984131682454253,0,0.0,0.9855030178361628,0.0,0.9855030178361628,2.5500435096859064e-16,0.060000000000000164,1000,1e-05
7,0.07,NLR,1.0,0.017120741002145223,0.06590898000285961,0.27060119999805465,0.38876547299150843,0.08945339753110397,0.09630835265814355,nan,nan,,0.0,nan,nan,nan,nan,0,,1.855000251990136e-05,3.5561831257524545e-17,0.0003350612939916779,0.014446795201148444,-0.00012184148918313167,4.794887097188272e-16,2.862293735361732e-17,1.989347671830436e-15,4.34860480957866e-14,1.2844177564368483e-12,8.396061623727746e-16,5.828670879282072e-16,1.1086606741956414e-15,2.220446049250313e-15,1.27675647831893e-15,0.00030614750251828186,3.5442121506138434e-05,0.0013611865068411918,0.014446795201148444,-0.00012184149046754519,0.21997733338355335,0,0.0,0.9874216099796789,0.0,0.9874216099796789,2.6195030515986857e-16,0.07000000000000019,1000,1e-05
8,0.08,NLR,1.0,0.017666425002971664,0.06702533800853416,0.2911903760104906,0.402562545001274,0.07990282720679268,0.11926976539505907,nan,nan,,0.0,nan,nan,nan,nan,0,,1.853906538199375e-05,3.642919299551295e-17,0.00033539322873175404,0.01446358243793755,-0.0001215132056932482,4.262926914433193e-16,2.8189256484623115e-17,1.5136362270483978e-15,2.0424634206150927e-14,1.067885883336938e-12,4.40619762898109e-16,3.885780586188048e-16,5.719433547600427e-16,9.992007221626409e-16,-1.304512053934559e-15,0.00030596699702043606,3.512097737881352e-05,0.001362534991722751,0.01446358243793755,-0.00012151320676112944,0.22023345520002208,0,0.0,0.9888873548499675,0.0,0.9888873548499675,2.7134111062915916e-16,0.07999999989957848,1000,1e-05
9,0.09,NLR,1.0,0.019844305992592126,0.06854911500704475,0.27812840598926414,0.3997944760048995,0.11014671362589137,0.16090238652054153,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8491605874997938e-05,3.469446951953614e-17,0.0003361144291938953,0.014501596806716588,-0.00012104087112640462,4.4280541345491556e-16,2.7755575615628914e-17,1.731988353179391e-15,3.49442697000768e-14,1.2100771686672458e-12,1.824929096727601e-15,4.163336342344337e-16,3.4051804391511756e-15,8.881784197001252e-15,1.4377388168895777e-14,0.00030518372976604994,3.405703244893269e-05,0.0013654648686001998,0.014501596806716588,-0.00012104087233648299,0.22081308564076907,0,0.0,0.9900444319986687,0.0,0.9900444319986687,2.4990394207669887e-16,0.08999670650874356,1000,1e-05
10,0.1,NLR,1.0,0.01953377900645137,0.05348256099387072,0.3021101290069055,0.6197031780029647,0.21996162608660932,0.25881235811463577,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8459062896242387e-05,3.415236843329339e-17,0.0003383229304713654,0.01461641163046834,-0.00011836655810780209,4.072730339653935e-16,2.7755575615628914e-17,1.7001776424983016e-15,3.770074530340395e-14,1.1394137634475346e-12,1.915134717478395e-15,7.494005416219807e-16,3.238137271522297e-15,7.993605777301127e-15,1.1213252548714081e-14,0.00030464664349612346,3.478643184026041e-05,0.0013744369050399216,0.01461641163046834,-0.0001183665592472136,0.2225670951355857,0,0.0,0.9909814978589612,0.0,0.9909814978589612,2.7511630126819675e-16,0.0996793211008775,1000,1e-05
