case,order,lambda_order,lambda_space,ref,h,h_lambda,h_lambda_arc,dofs,dofs_total,dofs_lambda,n_lambda,err_p_cg_l2,err_p_cg_h1,err_p_rec_l2,err_p_rec_h1,err_p_gamma_l2,err_p_gamma_h1,err_lam_h,err_lam_int,err_lam_jump_cg,err_lam_jump_rec,err_q_cg,err_q_rec,mean_elem_cg,mean_elem_rec,max_elem_cg,max_elem_rec,mean_cv_cg,mean_cv_rec,max_cv_cg,max_cv_rec,mean_cv_frac_cg,mean_cv_frac_rec,t_solve,t_post,t_diag,t_total
rect_Q2_P0,2,0,DG0,2,0.125,0.35355339059327384,0.35355339059327384,289,340,4,4,0.004687076384486782,0.12976454361442807,0.004766977926020424,0.18149122079362673,0.0001239196406779182,0.005200238757243588,0.3946005302821353,0.3714927280990294,0.1823906771036375,0.39371323431312494,0.12976454361442807,0.18149122079362673,0.0011673091852758893,0.0033825923292121916,0.010194943036025708,0.013822838125701994,0.0042547257069199,5.628445240743771e-16,0.052554178110635244,4.274358644806853e-15,0.030169767924228572,8.965050923848138e-16,0.5945876289988519,0.7530617989978055,0.4948144290028722,1.9213823399986723
rect_Q2_P0,2,0,DG0,3,0.0625,0.17677669529663698,0.17677669529663698,1089,1190,8,8,0.002138636658423187,0.08492467703528173,0.002157504880410454,0.12034078538265373,5.5618661669048174e-05,0.0013051404860604011,0.19748743677719405,0.1960087704427169,0.11635937684791875,0.3299655128292089,0.08492467703528173,0.12034078538265373,0.00013337455783000486,0.0007132483341163345,0.002603678294160014,0.008743389182877995,0.0009488921401694248,5.285767641379968e-16,0.02786792939456386,7.355227538141662e-15,0.013894939578959658,7.80485667135049e-16,0.996308499998122,2.992323166996357,1.8049959589989157,6.052402509005333
rect_Q2_P0,2,0,DG0,4,0.03125,0.08838834764831849,0.08838834764831849,4225,4424,16,16,0.0010654363855214914,0.058706651930976204,0.0010697137815138505,0.08326672913292951,2.753736018364756e-05,0.000337661108406418,0.0975343974386248,0.09739028718940233,0.05557472221225547,0.28634276090259797,0.058706651930976204,0.08326672913292951,1.4932332518071666e-05,0.00016060734330634557,0.0006195069299917352,0.004696433994283392,0.0002257115148220523,4.611851816441519e-16,0.013919541908452727,6.125308593674106e-15,0.006736328251867445,6.163130039935557e-16,1.9281983910041163,11.505170219003048,7.025972397997975,21.434941921004793
rect_Q2_P0,2,0,DG0,5,0.015625,0.045619792334615994,0.045619792334615994,16641,17037,31,31,0.0005304776496113797,0.041234438900224185,0.0005315360549475634,0.05847505195267746,1.3735858965094019e-05,8.848296842273164e-05,0.049984359233326364,0.049858183769054674,0.7783018404689678,0.48315795631526937,0.041234438900224185,0.05847505195267746,3.209550283353592e-06,4.151989507667533e-05,0.0005796082728573015,0.0034074132971769824,5.5145004985619896e-05,4.488083249622891e-16,0.00694182676529779,4.263950303950992e-15,0.00332234717571336,6.286615040398127e-16,3.7514225839986466,46.50927185599721,29.011881575999723,83.107290559994
rect_Q2_P0,2,0,DG0,6,0.0078125,0.02318382889136239,0.02318382889136239,66049,66837,61,61,0.0002645324400611809,0.029092167827411697,0.00026477506373729075,0.04116950059901211,6.861122702102397e-06,2.587306838146492e-05,0.025334564653048418,0.02525080476316443,0.8348707628441657,0.5051894215546656,0.029092167827411697,0.04116950059901211,4.1890953846328197e-07,9.519267158622635e-06,0.00019534074920067764,0.0013218321538850837,1.3634305148616843e-05,4.944994991749757e-16,0.003455510825995073,5.7425310166780985e-15,0.0016504019935390934,4.992749708833594e-16,10.253016656999534,190.27857897600188,114.02539715699822,331.1220073180011
rect_Q2_P0,2,0,DG0,7,0.00390625,0.011687715391513365,0.011687715391513365,263169,264741,121,121,0.00013201603005206288,0.020552958017841145,0.000132075257659235,0.02906518909832318,3.428752350053672e-06,9.261622868767015e-06,0.01279881483937146,0.012757672081423435,0.8223793791895128,0.5003287110193793,0.020552958017841145,0.02906518909832318,5.2192553637647147e-08,2.3522187194485327e-06,4.9975966104160927e-05,0.0006211813225700906,3.3900615642497924e-06,5.038761348268661e-16,0.0017289732850964811,7.0574785165228304e-15,0.0008225961942597918,4.756415159614319e-16,33.90124754000135,765.3086097730047,504.3759296640055,1375.5609641799965
