case,order,lambda_order,lambda_space,ref,h,h_lambda,h_lambda_arc,dofs,dofs_total,dofs_lambda,n_lambda,err_p_cg_l2,err_p_cg_h1,err_p_rec_l2,err_p_rec_h1,err_p_gamma_l2,err_p_gamma_h1,err_lam_h,err_lam_int,err_lam_jump_cg,err_lam_jump_rec,err_q_cg,err_q_rec,mean_elem_cg,mean_elem_rec,max_elem_cg,max_elem_rec,mean_cv_cg,mean_cv_rec,max_cv_cg,max_cv_rec,mean_cv_frac_cg,mean_cv_frac_rec,t_solve,t_post,t_diag,t_total
rect_Q1_P0,1,0,DG0,2,0.125,0.35355339059327384,0.35355339059327384,81,109,4,4,0.01681657610691324,0.37040645642942693,0.017181477172178196,0.40810348694038007,0.0027798906740397326,0.14712988877628191,0.47733298051160866,0.47447844226831765,1.3374882791636775,1.4849496675974394,0.37040645642942693,0.40810348694038007,0.17783076514876542,0.17783076514876542,0.34466991411008935,0.34466991411008935,0.016409002791168425,4.470630215231657e-16,0.0914939845713698,2.8033131371785203e-15,0.053726139196205926,1.0001919927203419e-15,0.2462117329996545,0.43134856699907687,0.16147098699730122,0.9062459179986035
rect_Q1_P0,1,0,DG0,3,0.0625,0.17677669529663698,0.17677669529663698,289,344,8,8,0.006731055154493744,0.205496080667885,0.006830363928556133,0.23451977075790081,0.0006733144459165957,0.07363367258403973,0.22086730055611264,0.22077140367981676,0.6392722725171702,0.7991856790664563,0.205496080667885,0.23451977075790081,0.048631776973229394,0.04863177697322939,0.10818013092258127,0.10818013092258127,0.0033749909765862208,3.5607319562005715e-16,0.046249892515163385,6.5503158452884236e-15,0.02463943884598789,9.025188004348668e-16,0.31191759100329364,1.6505131459998665,0.5705246619982063,2.7854201840018504
rect_Q1_P0,1,0,DG0,4,0.03125,0.08838834764831849,0.08838834764831849,1089,1197,16,16,0.0029763711323196836,0.12054131048163919,0.0030024259764003776,0.14309782695861062,0.00016637380104720336,0.03723006853799974,0.1051226762561385,0.10443192815384879,0.3081963040195145,0.47329961192187847,0.12054131048163919,0.14309782695861062,0.012753026348147341,0.012753026348147341,0.07086592721170805,0.07086592721170805,0.0007591605301950966,2.7030006311603027e-16,0.02264351799052796,3.816391647148976e-15,0.011676980863257896,4.437289749346884e-16,1.0079012099959073,5.996232625002449,1.316864694999822,9.104214049999428
rect_Q1_P0,1,0,DG0,5,0.015625,0.045619792334615994,0.045619792334615994,4225,4439,31,31,0.001392934585476405,0.07492495058246428,0.0013996542514519812,0.09208172056594312,4.391258117173528e-05,0.018616154516528375,0.05292410372848469,0.05263291170959248,1.0899084654306432,0.8911267151382272,0.07492495058246428,0.09208172056594312,0.0032619637201209287,0.003261963720120929,0.03985354121172774,0.03985354121172774,0.00018091262258738055,2.773571564877451e-16,0.011193214375241074,2.5517782331618832e-15,0.005678070612028526,3.73841944091106e-16,2.3617042130063055,16.279855704997317,5.462957894997089,26.394693812995683
rect_Q1_P0,1,0,DG0,6,0.0078125,0.02318382889136239,0.02318382889136239,16641,17066,61,61,0.0006783833670394947,0.0489024860263249,0.0006800642309827993,0.06162733662873795,1.5976101699295514e-05,0.009333860906610465,0.02672432295147189,0.026607471390359252,1.1860432323475794,0.9601343931199028,0.0489024860263249,0.06162733662873795,0.0008245744605678325,0.0008245744605678326,0.02096673946060717,0.02096673946060717,4.41593616923753e-05,2.8344830110688856e-16,0.005545404228611994,1.6316809015037848e-14,0.0028002007913784455,1.08545159276956e-15,6.161459928996919,71.97729170200182,24.105790882000292,112.92605470799754
rect_Q1_P0,1,0,DG0,7,0.00390625,0.011687715391513365,0.011687715391513365,66049,66896,121,121,0.0003342111040035115,0.03304210620720252,0.0003346324866243219,0.04228597088047484,7.759814570520407e-06,0.004673385728976715,0.013640018271503095,0.013593816823878635,1.1724960228440577,0.9492849875841398,0.03304210620720252,0.04228597088047484,0.00020726903723087398,0.00020726903723087398,0.010771252555835293,0.010771252555835293,1.0913344275504369e-05,2.2206302072230294e-16,0.0027689950669131016,3.4187930264550914e-14,0.0013905974614711347,1.0081852139209586e-15,20.898752332002914,290.0282413419991,88.07645994700579,442.6822610070012
