step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,R_xi_int_mean_abs,R_xi_int_median_abs,R_xi_int_rmse,R_xi_int_max_abs,R_xi_int_sum,R_xi_src_mean_abs,R_xi_src_median_abs,R_xi_src_rmse,R_xi_src_max_abs,R_xi_src_sum,R_xi_bnd_mean_abs,R_xi_bnd_median_abs,R_xi_bnd_rmse,R_xi_bnd_max_abs,R_xi_bnd_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,0.01,PINN,1.0,0.03082253500178922,105.89228806601022,0.396279457010678,0.4650899709959049,0.0,0.0,0.0022158621268368746,0.0025260527184056726,1068,105.88827024700004,0.0937556060089264,nan,nan,nan,30721,optimizer_done,1.3542862103163857e-15,9.055256544598933e-16,1.930565788065827e-15,1.2073350132146832e-14,-2.2853626543278827e-15,1.3593949948253987e-15,9.22005527481673e-16,1.922756584286636e-15,1.2073350132146832e-14,-3.746406396915036e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.2750800942371954e-15,7.095019016745141e-16,2.047832559270277e-15,1.127765415775972e-14,1.4610437425871536e-15,0.21854275917436805,0,0.0,0.9323870941958036,0.0,0.9323870941958036,2.654126918244515e-16,0.010000000000000026,1000,1e-05
2,0.02,PINN,1.0,0.017380032993969508,101.16982413099322,0.4151540420134552,0.474599337001564,0.5166229986356502,0.1553283837243534,0.0021624419135372716,0.0027388296379594213,1075,101.16322630200011,0.3919943110086024,nan,nan,nan,30721,optimizer_done,1.3531738232980014e-15,9.037909309839165e-16,1.9294262897684714e-15,1.207345855236408e-14,-2.3025929985409296e-15,1.3582402176714087e-15,9.17668718791731e-16,1.9215498832577737e-15,1.207345855236408e-14,-3.6551352087165964e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.2746249199071646e-15,7.095019016745141e-16,2.0476689247485808e-15,1.127765415775972e-14,1.3525422101756668e-15,0.21953874004992738,0,0.0,0.9617072978418089,0.0,0.9617072978418089,2.654126918244515e-16,0.020000000000000052,1000,1e-05
3,0.03,PINN,1.0,0.016381741996156052,115.89430345600704,0.379213897002046,0.44015154299268033,0.214450525953297,0.1306983363254165,0.0021290282954071755,0.0025510341182665435,1117,115.89058791700518,0.47549457600689493,nan,nan,nan,30721,optimizer_done,1.3533850009413438e-15,9.020562075079397e-16,1.9294503142842864e-15,1.2073350132146832e-14,-2.1005874990820406e-15,1.3584087505513897e-15,9.159339953157541e-16,1.9214745197037003e-15,1.2073350132146832e-14,-3.674496687824935e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.275497257963718e-15,7.095019016745141e-16,2.049138444958416e-15,1.127765415775972e-14,1.5739091887428946e-15,0.21956179617062926,0,0.0,0.9729981166707651,0.0,0.9729981166707651,2.654126918244515e-16,0.03000000000000008,1000,1e-05
4,0.04,PINN,1.0,0.020339348004199564,73.53910453300341,0.406842805998167,0.49977593899529893,0.18123185405203304,0.09684866785930489,0.002123835491866829,0.0023684504558967377,721,73.53420218899555,0.506700521989842,nan,nan,nan,30721,relative_patience,1.353976683426936e-15,9.020562075079397e-16,1.9305090659090226e-15,1.2073350132146832e-14,-2.5870554613491303e-15,1.3591503971489637e-15,9.159339953157541e-16,1.9227963109134105e-15,1.2073350132146832e-14,-3.717010965513523e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.2737639109162806e-15,7.251144129583054e-16,2.0463712151790804e-15,1.127765415775972e-14,1.1299555041643927e-15,0.219656668046371,0,0.0,0.9790682263557114,0.0,0.9790682263557114,2.5847379792054426e-16,0.0400000000000001,1000,1e-05
5,0.05,PINN,1.0,0.01636211400909815,122.074244894,0.39949241699650884,0.42758484499063343,0.18015098433776278,0.089831966980521,0.002115226521176369,0.002328562552869337,1180,122.06887173600262,0.44445166100922506,nan,nan,nan,30721,optimizer_done,1.3544486642188281e-15,9.08995101411847e-16,1.930297991345172e-15,1.2073350132146832e-14,-1.7148419186388542e-15,1.3593453500301551e-15,9.211381657436846e-16,1.9222997194562872e-15,1.2073350132146832e-14,-4.066232485271104e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.2785309064643094e-15,7.452805733665357e-16,2.050314518455641e-15,1.127765415775972e-14,2.35139056663225e-15,0.21983838598062178,0,0.0,0.9828798668728014,0.0,0.9828798668728014,2.5500435096859064e-16,0.050000000000000114,1000,1e-05
6,0.06,PINN,1.0,0.015251472010277212,60.68744156199682,0.417412429000251,0.468010995988152,0.13545065582058477,0.06785096741728479,0.0021198756537475845,0.002243197821200608,650,60.67918628799089,0.40623056700860616,nan,nan,nan,30721,relative_patience,1.3530940386083239e-15,9.055256544598933e-16,1.929366660337115e-15,1.2073350132146832e-14,-2.1642098378162056e-15,1.3579589954769061e-15,9.17668718791731e-16,1.921244853957476e-15,1.2073350132146832e-14,-4.294531581478661e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.2776682034075309e-15,7.251144129583054e-16,2.0511761630320076e-15,1.127765415775972e-14,2.1303217436624555e-15,0.22001557590496473,0,0.0,0.9855030178364041,0.0,0.9855030178364041,2.6194324487249787e-16,0.06000000000000014,1000,1e-05
7,0.07,PINN,1.0,0.017304690001765266,59.87595458800206,0.3751512220042059,0.4357004460034659,0.08948858629968724,0.09637045053862336,0.0021249176221239756,0.002365967746803263,590,59.872547928011045,0.3937780840060441,nan,nan,nan,30721,relative_patience,1.3539006032283354e-15,9.055256544598933e-16,1.9298956811251137e-15,1.2073350132146832e-14,-2.5930185732978006e-15,1.3589856292866838e-15,9.189697613987136e-16,1.9219582952163006e-15,1.2073350132146832e-14,-4.056366245501486e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.275062835940895e-15,7.095019016745141e-16,2.0490261994928255e-15,1.127765415775972e-14,1.4633476722036853e-15,0.22010403075357493,0,0.0,0.9874216099799553,0.0,0.9874216099799553,2.758262435308699e-16,0.07000000000000017,1000,1e-05
8,0.08,PINN,1.0,0.016759247999289073,101.5910315229994,0.4470707339933142,0.43985530200006906,0.08085680062033931,0.12173943846387404,0.0021143447502240446,0.0024898175749459976,1022,101.58592404000228,0.39482116799626965,nan,nan,nan,30721,relative_patience,1.3545598494723863e-15,9.055256544598933e-16,1.931455257923951e-15,1.2073350132146832e-14,-2.047122779451349e-15,1.359491399083196e-15,9.211381657436846e-16,1.9234710964242823e-15,1.2073350132146832e-14,-4.286650786937407e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.2781015666391699e-15,7.452805733665357e-16,2.0512689090749558e-15,1.127765415775972e-14,2.239528007486058e-15,0.22039673403343718,0,0.0,0.9888873548502762,0.0,0.9888873548502762,2.65696236013072e-16,0.07999999991874016,1000,1e-05
9,0.09,PINN,1.0,0.01521760800096672,85.97236600700126,0.41460955000366084,0.44733508200442884,0.11100608488750056,0.16273322806586393,0.0021079310518628607,0.0027416623735858174,856,85.96870941099769,0.41817067099327687,nan,nan,nan,30721,relative_patience,1.3535450173937099e-15,9.055256544598933e-16,1.9307487588470572e-15,1.2073350132146832e-14,-2.040317716753108e-15,1.3585789446317892e-15,9.17668718791731e-16,1.9228622521668812e-15,1.2073350132146832e-14,-3.615229792505552e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.2754994814252046e-15,7.095019016745141e-16,2.049140840915412e-15,1.127765415775972e-14,1.5749120757524437e-15,0.22098596038220036,0,0.0,0.9900444319990488,0.0,0.9900444319990488,2.6733588013119237e-16,0.08999708035873744,1000,1e-05
10,0.1,PINN,1.0,0.01923444599378854,103.11718175499118,0.3858161419921089,0.4306229380017612,0.22350293123453957,0.2620449649075945,0.0020924446944075867,0.0035173045065634064,1065,103.11331646899635,0.3967512670060387,nan,nan,nan,30721,optimizer_done,1.3539305503037268e-15,9.08995101411847e-16,1.930848458202586e-15,1.2073350132146832e-14,-2.4415284247472635e-15,1.3589610920077361e-15,9.22005527481673e-16,1.922958738904881e-15,1.2073350132146832e-14,-4.126839386713044e-15,1.870031907102998e-15,9.43689570931383e-16,2.507178982240454e-15,5.551115123125783e-15,-2.0816681711721685e-15,1.2759375033380535e-15,7.095019016745141e-16,2.049287467281218e-15,1.127765415775972e-14,1.6853109619657802e-15,0.22278357016541975,0,0.0,0.990981497859367,0.0,0.990981497859367,2.355971320811001e-16,0.09966318445035828,1000,1e-05
