step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
11,0.00011,NLR,1.0,0.017121769007644616,0.05092549500113819,0.00035867099359165877,3.183988155797124e-06,0.002341528370616187,0.001023120423815985,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8403244126394924e-05,3.903127820947816e-17,0.0003328671443107722,0.01434997820614936,-0.00012233056216036855,0.2185080868512334,0,0.0,0.11215681700162011,0.0,0.11215681700162011,-1.6940658945086007e-21,0.00010999999999999999,1,1e-05
12,0.00012000000000000002,NLR,1.0,0.017229876000783406,0.051649651999468915,0.0003572269924916327,3.592998837120831e-06,0.002348155012660856,0.0010183929135755695,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8404572588721515e-05,3.9898639947466563e-17,0.0003328755692175663,0.014350254948139796,-0.000122340403946218,0.2185122969778691,0,0.0,0.12223597368538433,0.0,0.12223597368538433,1.1858461261560205e-20,0.00012,1,1e-05
13,0.00013000000000000002,NLR,1.0,0.017045045999111608,0.0548530509986449,0.0003515190037433058,3.3240066841244698e-06,0.002353861145173698,0.0010129996572286477,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8405900431338507e-05,3.9898639947466563e-17,0.00033288399355813124,0.014350531612604467,-0.00012235023690540607,0.21851650592301317,0,0.0,0.13228116833832637,0.0,0.13228116833832637,-1.5246593050577406e-20,0.00013,1,1e-05
14,0.00014000000000000001,NLR,1.0,0.01675795800110791,0.049018570003681816,0.0003511929971864447,3.0669907573610544e-06,0.00235861391223993,0.0010069379897895056,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8407227167756955e-05,3.8163916471489756e-17,0.0003328924144066412,0.014350808105214163,-0.00012236005665940516,0.21852071225126873,0,0.0,0.14228859474469013,0.0,0.14228859474469013,2.541098841762901e-20,0.00014000000000000001,1,1e-05
15,0.00015000000000000001,NLR,1.0,0.01780012399831321,0.0523247539967997,0.0005381070077419281,3.922992618754506e-06,0.0023623833252177863,0.0010002087902245078,nan,nan,,0.0,nan,nan,nan,nan,0,,1.840855230527677e-05,3.9871534893154426e-17,0.000332900828799957,0.014351084330574082,-0.00012236985880365278,0.21852491451097916,0,0.0,0.15225433173855984,0.0,0.15225433173855984,-1.6940658945086007e-21,0.00015000000000000001,1,1e-05
16,0.00016,NLR,1.0,0.015661433004424907,0.052190358997904696,0.0003637119953054935,3.3959950087592006e-06,0.002365142692054816,0.0009928167471284766,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8409875347294154e-05,3.903127820947816e-17,0.00033290923374968535,0.014351360192613738,-0.00012237963898630662,0.21852911124023472,0,0.0,0.16217435325892218,0.0,0.16217435325892218,-1.6940658945086007e-21,0.00016,1,1e-05
17,0.00017,NLR,1.0,0.01960127698839642,0.049222051005926915,0.0003697070060297847,3.3899996196851134e-06,0.0023668690392546683,0.0009847705980421985,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8411195795173078e-05,3.9898639947466563e-17,0.000332917626255218,0.014351635595012402,-0.00012238939264808485,0.21853330097330143,0,0.0,0.17204454004921424,0.0,0.17204454004921424,-1.6940658945086007e-21,0.00017,1,1e-05
18,0.00018,NLR,1.0,0.018438178987707943,0.053155058005359024,0.0003497760044410825,3.2810057746246457e-06,0.0023675435185050815,0.000976083334894242,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8412513150599178e-05,4.0549161250957866e-17,0.0003329260033176065,0.01435191044164763,-0.00012239911534314249,0.218537482247456,0,0.0,0.18186069300658234,0.0,0.18186069300658234,-1.6940658945086007e-21,0.00018,1,1e-05
19,0.00019,NLR,1.0,0.021149124004296027,0.04532489398843609,0.0003409689961699769,2.1590094547718763e-06,0.0023671517873999812,0.0009667723674662799,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8413826918112162e-05,4.0549161250957866e-17,0.00033293436195409247,0.014352184637064891,-0.0001224088026980775,0.21854165361012182,0,0.0,0.19161854815554505,0.0,0.19161854815554505,-1.6940658945086007e-21,0.00019,1,1e-05
20,0.0002,NLR,1.0,0.01707305399759207,0.043831856004544534,0.0003472920070635155,2.2599997464567423e-06,0.002365684354748616,0.000956859637028309,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8415136607406474e-05,3.9898639947466563e-17,0.0003329426992131367,0.01435245808696095,-0.00012241845020670864,0.21854581362624473,0,0.0,0.20131379318708237,0.0,0.20131379318708237,2.541098841762901e-20,0.00020000000000000004,1,1e-05
21,0.00021,NLR,1.0,0.024353290995350108,0.0494661660050042,0.00034563800727482885,2.387998392805457e-06,0.0023631368811641096,0.0009463716726978224,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8416441735951482e-05,3.838075690598686e-17,0.00033295101218983037,0.014352730698679261,-0.00012242805347518438,0.21854996088582737,0,0.0,0.2109420854680921,0.0,0.2109420854680921,-2.879912020664621e-20,0.00021,1,1e-05
22,0.00022,NLR,1.0,0.018030387989711016,0.045071799992001615,0.00036509901110548526,2.0880106603726745e-06,0.00235951042357293,0.0009353395834228791,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8417741831523547e-05,3.9898639947466563e-17,0.0003329592980414892,0.01435300238171,-0.0001224376081818279,0.21855409401150855,0,0.0,0.2204990713886035,0.0,0.2204990713886035,2.541098841762901e-20,0.00022000000000000003,1,1e-05
23,0.00023,NLR,1.0,0.018033594998996705,0.050386133007123135,0.0003664190007839352,1.8199934856966138e-06,0.0023548116155417275,0.0009237989796443634,nan,nan,,0.0,nan,nan,nan,nan,0,,1.841903643485862e-05,4.0766001685454967e-17,0.00033296755400303733,0.014353273048180348,-0.00012244711027780818,0.21855821166608594,0,0.0,0.2299804068762624,0.0,0.2299804068762624,-1.6940658945086007e-21,0.00023000000000000003,1,1e-05
24,0.00024000000000000003,NLR,1.0,0.020583370001986623,0.04708762900554575,0.0003720130043802783,2.401997335255146e-06,0.002349052773780913,0.0009117898197692585,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8420325101971256e-05,3.8163916471489756e-17,0.0003329757774022541,0.014353542613341208,-0.0001224565555044045,0.21856231255984415,0,0.0,0.23938177887070736,0.0,0.23938177887070736,-1.6940658945086007e-21,0.00024000000000000003,1,1e-05
25,0.00025,NLR,1.0,0.020076417000382207,0.045958953007357195,0.0003695639898069203,2.505999873392284e-06,0.002342251925814594,0.0008993561785090787,nan,nan,,0.0,nan,nan,nan,nan,0,,1.842160740677269e-05,3.881443777498106e-17,0.0003329839656742909,0.014353810996026839,-0.00012246594011781052,0.21856639545762158,0,0.0,0.24869892751597084,0.0,0.24869892751597084,-2.879912020664621e-20,0.00025,1,1e-05
