step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,R_xi_int_mean_abs,R_xi_int_median_abs,R_xi_int_rmse,R_xi_int_max_abs,R_xi_int_sum,R_xi_src_mean_abs,R_xi_src_median_abs,R_xi_src_rmse,R_xi_src_max_abs,R_xi_src_sum,R_xi_bnd_mean_abs,R_xi_bnd_median_abs,R_xi_bnd_rmse,R_xi_bnd_max_abs,R_xi_bnd_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
11,0.00011,PINN,1.0,0.01338793600734789,0.005906293998123147,0.0007170470053097233,3.463996108621359e-06,0.0023417540257772403,0.0005548739727488929,0.0025270148048554516,0.002527021904932169,direct,0.0015732110041426495,0.0006284229893935844,0.0007218859973363578,0.00016824199701659381,5.0268994527868927e-05,96,direct_last_layer,1.3545997708869948e-15,9.072603779358701e-16,1.9295910831937527e-15,1.2079530084529999e-14,-1.375452757333001e-15,1.3592536254746676e-15,9.228728892196614e-16,1.921538389784935e-15,1.2079530084529999e-14,-4.786135951537901e-15,1.8145207558717402e-15,9.853229343548264e-16,2.518063315210497e-15,5.6066262743570405e-15,-1.970645868709653e-15,1.2824468456585844e-15,7.368237964211488e-16,2.0503971188879425e-15,1.1267245816903859e-14,3.4106831942049e-15,0.21877379779253667,0,0.0,0.11215681700162013,0.0,0.11215681700162013,-1.5246593050577406e-20,0.00010999999999999999,1,1e-05
12,0.00012000000000000002,PINN,1.0,0.019038721002289094,0.006274079001741484,0.0003078419977100566,2.8479989850893617e-06,0.002348451517749828,0.0005530731657885798,0.0025274794459404244,0.002527486498709538,direct,0.0016012819978641346,0.0006276159983826801,0.0007472659926861525,0.00016843000776134431,5.39900065632537e-05,96,direct_last_layer,1.3557889802852747e-15,9.037909309839165e-16,1.9329323277867935e-15,1.2072591190626092e-14,-1.9028086940299505e-15,1.3607925970542465e-15,9.159339953157541e-16,1.9249007971113125e-15,1.2072591190626092e-14,-3.848951593641431e-15,2.0573820425084932e-15,1.0269562977782698e-15,2.694310940274264e-15,5.773159728050814e-15,-1.8041124150158794e-15,1.2782133749882074e-15,7.138387103644561e-16,2.0534373973996283e-15,1.1263776369951906e-14,1.9461428996114805e-15,0.21877759748093253,0,0.0,0.12223597368538434,0.0,0.12223597368538434,-1.6940658945086007e-21,0.00011999999999999999,1,1e-05
13,0.00013000000000000002,PINN,1.0,0.01642449200153351,0.006691229995340109,0.0003041439922526479,2.5420013116672635e-06,0.0023542418845724183,0.000550965071651729,0.0025279764304492903,0.002527983428180317,direct,0.0017145180027000606,0.0007313449896173552,0.0007737349951639771,0.00014362500223796815,5.9277997934259474e-05,96,direct_last_layer,1.3590654773419484e-15,9.150666335777657e-16,1.9353598207482172e-15,1.2065652296722185e-14,-9.982571274593996e-16,1.3640828729558099e-15,9.298117831235686e-16,1.927556417342806e-15,1.2065652296722185e-14,-3.5636963079946e-15,2.0296264668928643e-15,1.2212453270876722e-15,2.5699961960631004e-15,5.551115123125783e-15,-2.4702462297909733e-15,1.281276246125479e-15,7.277164981722706e-16,2.0525510317948443e-15,1.1281990966449662e-14,2.5654391805352006e-15,0.21878138442544842,0,0.0,0.1322811683383264,0.0,0.1322811683383264,-1.6940658945086007e-21,0.00013,1,1e-05
14,0.00014000000000000001,PINN,1.0,0.015787022013682872,0.006082173000322655,0.00033062299189623445,2.6400084607303143e-06,0.0023590934605749497,0.0005485477750379757,0.0025285047895267287,0.0025285117245395757,direct,0.001653505998547189,0.0006467289931606501,0.0007793730037519708,0.00016885499644558877,5.464600690174848e-05,96,direct_last_layer,1.3575760786652369e-15,9.037909309839165e-16,1.9344271796551237e-15,1.2080397446267988e-14,-2.493155082882413e-15,1.362487027883585e-15,9.168013570537425e-16,1.9266628561004723e-15,1.2080397446267988e-14,-5.033007092146956e-15,1.7277845820728999e-15,9.159339953157541e-16,2.4349882806269406e-15,5.551115123125783e-15,-1.3877787807814457e-15,1.2814371823854573e-15,7.246807320893112e-16,2.0510476051798537e-15,1.1286327775139604e-14,2.5398520092645427e-15,0.2187851562332806,0,0.0,0.14228859474469016,0.0,0.14228859474469016,2.541098841762901e-20,0.00014000000000000001,1,1e-05
15,0.00015000000000000001,PINN,1.0,0.01797625800827518,0.006722336998791434,0.0003012369998032227,2.7140049496665597e-06,0.0023629774374883243,0.0005458208228437626,0.0025290634590340298,0.0025290703237506734,direct,0.001597606998984702,0.0006194609886733815,0.0007399499882012606,0.00017854200268629938,5.472700286190957e-05,96,direct_last_layer,1.3593404669391166e-15,9.072603779358701e-16,1.935051954711999e-15,1.2072591190626092e-14,-1.1335655585855905e-15,1.3642961622116114e-15,9.159339953157541e-16,1.9269895378771054e-15,1.2072591190626092e-14,-3.8416857450198835e-15,1.960237527853792e-15,1.1657341758564144e-15,2.5574507595721708e-15,5.551115123125783e-15,-1.915134717478395e-15,1.2825078320307867e-15,7.35089072945172e-16,2.056010023622216e-15,1.1290664583829546e-14,2.708120186434293e-15,0.21878891048643198,0,0.0,0.15225433173855987,0.0,0.15225433173855987,-1.6940658945086007e-21,0.00015000000000000001,1,1e-05
16,0.00016,PINN,1.0,0.015479424997465685,0.006823408999480307,0.00031920299807097763,2.8560025384649634e-06,0.002365868284514325,0.0005427853538040996,0.0025296512830588467,0.0025296580700570614,direct,0.0017120700067607686,0.0007977889908943325,0.0006814770022174343,0.00017234100960195065,5.531999340746552e-05,96,direct_last_layer,1.3551871899400057e-15,9.020562075079397e-16,1.9298606782256878e-15,1.207345855236408e-14,-1.9723043592203768e-15,1.36041455999691e-15,9.150666335777657e-16,1.922203345512694e-15,1.207345855236408e-14,-4.302254827891726e-15,1.790234627208065e-15,7.91033905045424e-16,2.482262611223495e-15,5.329070518200751e-15,-2.3314683517128287e-15,1.2741425346437033e-15,7.572067972638763e-16,2.0449141214384658e-15,1.128892986035357e-14,2.329950468671349e-15,0.2187926447515478,0,0.0,0.1621743532589222,0.0,0.1621743532589222,-1.6940658945086007e-21,0.00016,1,1e-05
17,0.00017,PINN,1.0,0.014101174994721077,0.006177576011396013,0.0009091310057556257,4.3969921534880996e-06,0.0023677441590201328,0.0005394441814937288,0.0025302670184477257,0.0025302737205157373,direct,0.0019871280092047527,0.0006239939975785092,0.0010024450020864606,0.00023980300466064364,0.00011351000284776092,96,direct_last_layer,1.3551794401398615e-15,9.072603779358701e-16,1.9293672578929444e-15,1.2062182849770231e-14,-1.5503328736890185e-15,1.3600550168123734e-15,9.280770596475918e-16,1.9211380857445887e-15,1.2062182849770231e-14,-3.8095933607143126e-15,1.8006429680639258e-15,1.0408340855860843e-15,2.4850735729903233e-15,5.551115123125783e-15,-1.0824674490095276e-15,1.2795889564945484e-15,7.381248390281314e-16,2.0527352719573473e-15,1.126637845516587e-14,2.259260487025294e-15,0.21879635659099908,0,0.0,0.17204454004921427,0.0,0.17204454004921427,-1.6940658945086007e-21,0.00017,1,1e-05
18,0.00018,PINN,1.0,0.01652621600078419,0.008843268995406106,0.00034020200837403536,2.5999906938523054e-06,0.0023685873023525034,0.0005358018795973822,0.002530909340365378,0.002530915950556928,direct,0.0016394520062021911,0.0006295200000749901,0.0007710049976594746,0.0001745040062814951,5.884400161448866e-05,96,direct_last_layer,1.355178003090828e-15,9.098624631498353e-16,1.9302692626698653e-15,1.2082132169743964e-14,-9.737541583612272e-16,1.3598374661421374e-15,9.211381657436846e-16,1.921850484294359e-15,1.2082132169743964e-14,-4.178005258924887e-15,2.0990154059319366e-15,1.0824674490095276e-15,2.670401563170865e-15,5.6066262743570405e-15,-1.582067810090848e-15,1.282938124767992e-15,7.268491364342822e-16,2.056388415219455e-15,1.1283725689925639e-14,3.20425110056366e-15,0.21880004357428878,0,0.0,0.1818606930065824,0.0,0.1818606930065824,-1.6940658945086007e-21,0.00018,1,1e-05
19,0.00019,PINN,1.0,0.015422701006173156,0.006552096005179919,0.00032076300703920424,2.3610045900568366e-06,0.0023683844088730616,0.0005318648524894951,0.002531576848863403,0.0025315833605523193,direct,0.001665593998041004,0.0007294960087165236,0.0007149929879233241,0.00016299700655508786,5.245300417300314e-05,96,direct_last_layer,1.3565272894867877e-15,9.159339953157541e-16,1.932551275831409e-15,1.2076927999316034e-14,-2.7496773168924835e-15,1.3614053388529456e-15,9.246076126956382e-16,1.924596556815707e-15,1.2076927999316034e-14,-4.88533875625443e-15,1.897787482718627e-15,8.187894806610529e-16,2.5847915338720335e-15,5.662137425588298e-15,-2.525757381022231e-15,1.2808984694310036e-15,7.580741590018647e-16,2.0519389511157185e-15,1.1245561773454149e-14,2.1356614393619466e-15,0.21880370329026175,0,0.0,0.1916185481555451,0.0,0.1916185481555451,-1.6940658945086007e-21,0.00019,1,1e-05
20,0.0002,PINN,1.0,0.015510213008383289,0.007418541004881263,0.0003203899977961555,2.4229957489296794e-06,0.0023671269597372586,0.0005276413773853143,0.0025322680764208617,0.002532274483354069,direct,0.0015967850049491972,0.0006139350007288158,0.0007562620012322441,0.00016973400488495827,5.154000245966017e-05,96,direct_last_layer,1.3547154785948073e-15,9.081277396738585e-16,1.9297058351254813e-15,1.2081264808005976e-14,-1.7435377008259353e-15,1.3597427316212458e-15,9.228728892196614e-16,1.9219108805526877e-15,1.2081264808005976e-14,-4.4156623751337096e-15,1.994931997373328e-15,1.4155343563970746e-15,2.5520983880771473e-15,5.440092820663267e-15,-1.5265566588595902e-15,1.2767734189778751e-15,7.355227538141662e-16,2.0467635761799362e-15,1.1259439561261964e-14,2.6721246743077742e-15,0.2188073333596372,0,0.0,0.20131379318708242,0.0,0.20131379318708242,-2.879912020664621e-20,0.00019999999999999998,1,1e-05
