case,order,lambda_order,lambda_space,ref,h,h_lambda,h_lambda_arc,dofs,dofs_total,dofs_lambda,n_lambda,err_p_cg_l2,err_p_cg_h1,err_p_rec_l2,err_p_rec_h1,err_p_gamma_l2,err_p_gamma_h1,err_lam_h,err_lam_jump_cg,err_lam_jump_rec,err_q_cg,err_q_rec,mean_elem_cg,mean_elem_rec,max_elem_cg,max_elem_rec,mean_cv_cg,mean_cv_rec,max_cv_cg,max_cv_rec,mean_cv_frac_cg,mean_cv_frac_rec,t_solve,t_post,t_diag,t_total
order2_P0,2,0,DG0,2,0.25,0.7071067811865476,0.7071067811865476,81,108,2,2,0.01855911579128663,0.3265761225497666,0.01873123084182338,0.3800335297547223,0.000626067192872376,0.01908834458953778,1.0722746376222427,0.5132575616495616,0.7578211954213143,0.3265761225497666,0.3800335297547223,0.08595296901948146,0.15856123275368195,0.16175518469986394,0.4033094750564903,0.009195393322703726,6.12321984499895e-16,0.03667189347722222,2.4424906541753444e-15,0.0149798816731627,5.003307709659423e-16,0.2682415009912802,0.5920132110040868,0.5557124089973513,1.4556617100024596
order2_P0,2,0,DG0,3,0.125,0.35355339059327384,0.35355339059327384,289,340,4,4,0.0074021174533102285,0.17467493204438905,0.007530501203921477,0.20520361399957357,0.00019817644771180838,0.005211853910302482,0.4090815135396286,0.34895278912845984,0.5122161280595131,0.17467493204438905,0.20520361399957357,0.01369338300087289,0.027390746143587434,0.06024991424576898,0.1759526114921617,0.0014532124047440071,6.002760017448989e-16,0.02082931664130712,2.4424906541753444e-15,0.00500848330088962,5.38248386429827e-16,0.23776692399405874,2.3156373819947476,1.9517606709996471,4.605815221002558
order2_P0,2,0,DG0,4,0.0625,0.17677669529663698,0.17677669529663698,1089,1190,8,8,0.0034870360224753864,0.11391925988681,0.0035258413903757045,0.13494241098769108,9.021564774818737e-05,0.0013146991820982233,0.20286969872680705,0.28901993313426233,0.4744101443328805,0.11391925988681,0.13494241098769108,0.0026712462803586334,0.005674899442063687,0.02369600091877755,0.07868252688202938,0.00030154949778842807,4.712353307169124e-16,0.011270119332631542,3.101685575046531e-15,0.0023116197115858193,4.893421405262653e-16,0.601996090990724,9.208356515999185,7.939808611001354,18.119275719000143
order2_P0,2,0,DG0,5,0.03125,0.08838834764831849,0.08838834764831849,4225,4424,16,16,0.0017167608225075038,0.07871340926047657,0.0017267440804636233,0.09341912426114816,4.423439362591492e-05,0.0003463592855363182,0.09966921114488055,0.26392010543342015,0.45306470521692516,0.07871340926047657,0.09341912426114816,0.0005991541658585456,0.001299048453308031,0.011378985816524675,0.03725032553008936,6.996338491715232e-05,5.2534872171880355e-16,0.005661346821718139,3.68368530123675e-15,0.0011205156889294238,6.331147854844027e-16,2.166328095001518,36.49694586900296,31.479754544998286,71.50457464699866
order2_P0,2,0,DG0,6,0.015625,0.045619792334615994,0.045619792334615994,16641,17037,31,31,0.0008491317405866972,0.05525334126404306,0.0008516834382152576,0.06569249592586066,2.196478989130596e-05,9.637314143343077e-05,0.05088211735319499,0.9918847318662344,1.0529258320944292,0.05525334126404306,0.06569249592586066,0.00014252074154720828,0.0003096530528686977,0.005625597805083286,0.018261850589392947,1.6963664872669842e-05,4.836374375871359e-16,0.0028264298994129904,5.740199982007255e-15,0.0005510587986032626,6.034712560017006e-16,5.433712925994769,146.96475316600117,120.44051571100135,278.0961139409919
order2_P0,2,0,DG0,7,0.0078125,0.02318382889136239,0.02318382889136239,66049,66837,61,61,0.00042260061195634305,0.03896663689708531,0.0004232299540086028,0.04625422820406944,1.0953091309057303e-05,3.2117236774421166e-05,0.02573735652023232,1.0669233021483249,1.1234750024520306,0.03896663689708531,0.04625422820406944,3.4600654471228243e-05,7.544919466503514e-05,0.0027975907608109698,0.009099768956855693,4.182262819365615e-06,4.669584458265185e-16,0.0014056817336408484,5.867485317057053e-15,0.00027288239933915024,5.241867401670315e-16,17.046028918994125,549.0810777489969,384.90778214599413,968.403498360989
