case,order,lambda_order,lambda_space,ref,h,h_lambda,h_lambda_arc,dofs,dofs_total,dofs_lambda,n_lambda,err_p_cg_l2,err_p_cg_h1,err_p_rec_l2,err_p_rec_h1,err_p_gamma_l2,err_p_gamma_h1,err_lam_h,err_lam_jump_cg,err_lam_jump_rec,err_q_cg,err_q_rec,mean_elem_cg,mean_elem_rec,max_elem_cg,max_elem_rec,mean_cv_cg,mean_cv_rec,max_cv_cg,max_cv_rec,mean_cv_frac_cg,mean_cv_frac_rec,t_solve,t_post,t_diag,t_total
order2_P1,2,1,P1,2,0.25,0.7071067811865476,0.7071067811865476,81,109,3,2,0.018483524173834524,0.293324971987109,0.01872129287743822,0.3602894805480932,0.0005093593413384365,0.019031542753895226,0.2376643648449928,0.8503120362191211,1.0140600220566474,0.293324971987109,0.3602894805480932,0.08777868690568055,0.14753970979376396,0.17622962908416628,0.5146557702493948,0.008896913475877993,6.151541860933265e-16,0.05729119568489585,2.55351295663786e-15,0.013882473256291739,7.201841462371081e-16,0.540326094996999,0.42394729499937966,0.4099114800046664,1.4097928150004009
order2_P1,2,1,P1,3,0.125,0.35355339059327384,0.35355339059327384,289,341,5,4,0.007602673096174392,0.1692772640339647,0.0077408500691550615,0.20388215398751372,0.00018815104092440547,0.005206251091989836,0.16610122501062724,0.4174298999055139,0.5866441630813175,0.1692772640339647,0.20388215398751372,0.013737800144044231,0.027521837153964716,0.06344926348790281,0.19167075252619845,0.00145676660044365,5.763252529532458e-16,0.026214187177276707,2.706168622523819e-15,0.005014796341659301,5.243100850123854e-16,0.5174290519935312,1.5707028530014213,1.4145527340006083,3.5736499079939676
order2_P1,2,1,P1,4,0.0625,0.17677669529663698,0.17677669529663698,1089,1191,9,8,0.003557428738137205,0.11284448909678658,0.003596086861442368,0.13453695073583777,8.999231297091752e-05,0.0013138662790784929,0.051428074269307775,0.3032498389599605,0.4907141798659389,0.11284448909678658,0.13453695073583777,0.0026706162610883426,0.005664031442974498,0.023866041462484847,0.07924753838062687,0.0003013822745395072,4.521518212033454e-16,0.011859011281746046,4.0245584642661925e-15,0.0023103703444043466,4.931716974855087e-16,1.006688702997053,6.912551289991825,5.63386908499524,13.825078654990648
order2_P1,2,1,P1,5,0.03125,0.08838834764831849,0.08838834764831849,4225,4425,17,16,0.0017266092399466145,0.07852622724473782,0.001736572153810309,0.09334361703412482,4.4247049335480645e-05,0.00034620630345972333,0.02315018950608629,0.2678673478406727,0.45626478781938185,0.07852622724473782,0.09334361703412482,0.000599267222029823,0.001295312104805736,0.011322860958385821,0.03729667769173835,6.995151189876042e-05,5.204743977435688e-16,0.005731417378184691,3.9968028886505635e-15,0.0011203370086692974,5.631646848529805e-16,1.8772798419959145,26.525082444000873,22.4081571620045,51.83112671399431
order2_P1,2,1,P1,6,0.015625,0.045619792334615994,0.045619792334615994,16641,17038,32,31,0.0008513326622543489,0.05522241311443124,0.0008538421720436487,0.06557543358716243,2.197265293256071e-05,9.63453526836056e-05,0.011280714122368533,0.9931817841298474,1.0551102276628086,0.05522241311443124,0.06557543358716243,0.00014225039599372033,0.00030941855853220453,0.005620699125419263,0.018319669221128196,1.6959775117025186e-05,1.1320879196955357e-09,0.00282375490954994,6.146508528710737e-07,0.000550907850761944,4.1818265326837496e-08,4.552805932995398,105.2768066389981,91.35412169799383,205.23144716399838
order2_P1,2,1,P1,7,0.0078125,0.02318382889136239,0.02318382889136239,66049,66838,62,61,0.00042277650375220996,0.03895989321385897,0.00042340524600447175,0.046246946783539716,1.095378004514011e-05,3.211001109642125e-05,0.005593751639885916,1.0670403470176775,1.1237489193712025,0.03895989321385897,0.046246946783539716,3.45965761153323e-05,7.544557270400799e-05,0.002800634037863109,0.009087183666158105,4.183047990684635e-06,7.042465753865944e-11,0.001407170935986823,1.194669790871572e-07,0.0002729485622155525,5.2381111346039025e-09,13.953231136998511,438.47310331999324,345.4962939669931,811.8012255820067
