case,order,lambda_order,lambda_space,ref,h,h_lambda,h_lambda_arc,dofs,dofs_total,dofs_lambda,n_lambda,err_p_cg_l2,err_p_cg_h1,err_p_rec_l2,err_p_rec_h1,err_p_gamma_l2,err_p_gamma_h1,err_lam_h,err_lam_jump_cg,err_lam_jump_rec,err_q_cg,err_q_rec,mean_elem_cg,mean_elem_rec,max_elem_cg,max_elem_rec,mean_cv_cg,mean_cv_rec,max_cv_cg,max_cv_rec,mean_cv_frac_cg,mean_cv_frac_rec,t_solve,t_post,t_diag,t_total
order1_P0,1,0,DG0,2,0.25,0.7071067811865476,0.7071067811865476,25,40,2,2,0.057272507424212395,1.0476606491802292,0.05697335412920876,1.0440471341347555,0.011132261957051307,0.2810790903151501,0.9115922314473069,5.001015667882763,5.129036755751932,1.0476606491802292,1.0440471341347555,0.3625034990434157,0.36250349904341567,0.6767779158201737,0.6767779158201737,0.03850776280582961,1.2490009027033011e-15,0.05707521309499185,6.217248937900877e-15,0.034951960858716206,1.6058583034756728e-15,0.9220497329952195,0.21632093600055669,0.18887481300043873,1.3674540049978532
order1_P0,1,0,DG0,3,0.125,0.35355339059327384,0.35355339059327384,81,109,4,4,0.03234009230000095,0.570204306978841,0.0322271595798258,0.5678862523891248,0.0027766988827472297,0.14713067216516038,0.7076257705679231,2.6600335684533345,2.641468769294257,0.570204306978841,0.5678862523891248,0.0895066324628705,0.0895066324628705,0.1745266182796711,0.17452661827967111,0.005995275321449855,4.2419299365620616e-16,0.023472166253569904,2.55351295663786e-15,0.010069992704865855,6.878635088425929e-16,0.3009990169957746,0.7556194780045189,0.7178388439933769,1.8745730140071828
order1_P0,1,0,DG0,4,0.0625,0.17677669529663698,0.17677669529663698,289,344,8,8,0.01435870626233318,0.318380326434799,0.014348987119356896,0.3205366541684139,0.0006465068710341401,0.07363465766070612,0.31545694052186457,1.2381179645935778,1.2276483956877713,0.318380326434799,0.3205366541684139,0.023561763956743767,0.02356176395674376,0.044646956115845196,0.044646956115845196,0.0009614964566419079,3.5006334251106195e-16,0.011154346250421943,6.078471059822732e-15,0.004136834212399042,7.192042504180588e-16,0.4352262900065398,3.018412232006085,2.579764162990614,6.386198552994756
order1_P0,1,0,DG0,5,0.03125,0.08838834764831849,0.08838834764831849,1089,1197,16,16,0.006566293641804662,0.18572603122695205,0.0065654685363168205,0.18885471341383883,0.00017250899137731307,0.03723092824863126,0.14199903444145975,0.7697905960363135,0.7666019141090559,0.18572603122695205,0.18885471341383883,0.006160842133467884,0.006160842133467884,0.02126170025730239,0.021261700257302396,0.0001849455184819206,2.6213571614266023e-16,0.005232060744135861,3.164135620181696e-15,0.0018294970189164457,4.953517182823278e-16,1.235889582996606,11.387023639996187,10.224486680992413,24.341385892999824
order1_P0,1,0,DG0,6,0.015625,0.045619792334615994,0.045619792334615994,4225,4439,31,31,0.0031169369723517766,0.1143089557433609,0.003116860307156352,0.11727792697114149,6.667522418991592e-05,0.018616688488640138,0.06688824790145928,1.2818656606019603,1.2817924719989628,0.1143089557433609,0.11727792697114149,0.001574749431998482,0.001574749431998482,0.012701052001432378,0.012701052001432376,4.143256636287709e-05,2.6004677203613233e-16,0.002534592240019052,1.4412082638415313e-14,0.0008632871404934031,6.619257188564309e-16,4.794213096000021,46.77147311299632,40.9932258020126,98.01579646399477
order1_P0,1,0,DG0,7,0.0078125,0.02318382889136239,0.02318382889136239,16641,17066,61,61,0.001521288617243191,0.073959334337414,0.0015212775197430014,0.07629048606997986,3.404374435815946e-05,0.009334153244167982,0.03277056007453582,1.3862765686589806,1.3862679198574608,0.073959334337414,0.07629048606997986,0.0003980429837465283,0.0003980429837465283,0.006845706623019113,0.006845706623019114,9.925224962947763e-06,2.469783717556858e-16,0.001247545108573965,7.945033519973776e-15,0.00042033457155170724,5.044283326650677e-16,16.182700464007212,186.52423444199667,160.6607840830111,384.17599406100635
