step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_iterations,pinn_wall_s,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,0.01,PINN,1.0,0.018243566999444738,0.005424102011602372,0.25120679700921755,0.41129719000309706,0.0,0.0,0.0025242899761119086,direct,0.0,1.3530121909673976e-15,9.02706728811431e-16,1.929600962429938e-15,1.206825438193615e-14,-1.8707163097243795e-15,0.2187355920959264,0,0.0,0.9323870941958032,0.0,0.9323870941958032,2.636779683484747e-16,0.010000000000000024,1000,1e-05
2,0.02,PINN,1.0,0.021257055006572045,0.006648691007285379,0.31758785400597844,0.4174370279943105,0.517938523373999,0.07851095446472758,0.0028945918721017564,direct,0.0,1.3564778175501575e-15,9.124645483638005e-16,1.932422066742409e-15,1.2088203701909883e-14,-2.2329482555517866e-15,0.2195163353696061,0,0.0,0.96170729784181,0.0,0.96170729784181,2.636779683484747e-16,0.02000000000000005,1000,1e-05
3,0.03,PINN,1.0,0.02450553599919658,0.005910601990763098,0.3003756599937333,0.4974944569985382,0.21171489229242144,0.039080462895015586,0.0029386579281774168,direct,0.0,1.3565842987135206e-15,9.1550031444676e-16,1.931336760879996e-15,1.206825438193615e-14,-1.0272951109571715e-15,0.21963812561668117,0,0.0,0.9729981166707687,0.0,0.9729981166707687,2.7582103268031233e-16,0.030000000000000086,1000,1e-05
4,0.04,PINN,1.0,0.016063625007518567,0.004793108004378155,0.2795784149930114,0.3957261280011153,0.2011959026301139,0.026716879380145154,0.0030585766994014464,direct,0.0,1.3567570942366853e-15,9.08995101411847e-16,1.932404116751336e-15,1.208549319647867e-14,-2.9749965511916e-15,0.21974886739421284,0,0.0,0.9790682263557147,0.0,0.9790682263557147,2.5847379792054426e-16,0.040000000000000105,1000,1e-05
5,0.05,PINN,1.0,0.03170526400208473,0.004500729002756998,0.32096727199677844,0.447927034998429,0.19314815362489965,0.03298748002414028,0.003106765531687417,direct,0.0,1.3561007798292782e-15,9.08995101411847e-16,1.930058505696927e-15,1.2080289026050739e-14,-2.0755966390062497e-15,0.2198756078459593,0,0.0,0.9828798668728053,0.0,0.9828798668728053,2.688821387764051e-16,0.050000000000000135,1000,1e-05
