step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,1e-05,PINN,1.0,0.04590845000348054,36.65184816499823,0.0013195549981901422,6.590998964384198e-06,0.0,0.0,0.0023725514096236628,0.0025260527184056726,329,36.646439147996716,30721,optimizer_done,1.3542483402251184e-15,9.055256544598933e-16,1.9301724922538824e-15,1.2073350132146832e-14,-1.9327258977269723e-15,0.21850559302907657,0,0.0,0.01024,0.0,0.01024,0.0,1e-05,1,1e-05
2,2e-05,PINN,1.0,0.02568304400483612,29.930623070002184,0.0010434040013933554,2.6695997803471982e-05,0.0022467771002218995,0.047592964488721155,0.0023180300865982897,0.0023726015428294617,313,29.925701965010376,30721,optimizer_done,1.3535835446622555e-15,9.055256544598933e-16,1.9300803956760904e-15,1.2073350132146832e-14,-2.1717111615970897e-15,0.21870152719587832,0,0.0,0.020478904042811663,0.0,0.020478904042811663,0.0,2e-05,1,1e-05
3,3.0000000000000004e-05,PINN,1.0,0.02786467398982495,29.602797068000655,0.0007491260039387271,3.106993972323835e-06,0.0022599391280977276,0.03565814857298188,0.002284850228407082,0.0023181384354777975,333,29.59701153099013,30721,optimizer_done,1.3542625856152012e-15,9.055256544598933e-16,1.930400901782081e-15,1.2073350132146832e-14,-2.1163761932188607e-15,0.21856092807993252,0,0.0,0.030714430042600847,0.0,0.030714430042600847,1.6940658945086007e-21,3.0000000000000004e-05,1,1e-05
4,4e-05,PINN,1.0,0.025183983001625165,30.556199801998446,0.0005809489957755432,2.8429931262508035e-06,0.0022725420623333032,0.03153123335785538,0.0022606514253372444,0.0022849524793067066,332,30.548333652011934,30721,optimizer_done,1.3551538928242477e-15,9.072603779358701e-16,1.931224051635129e-15,1.2073350132146832e-14,-2.2217470918572957e-15,0.21862679233903745,0,0.0,0.04094415826701347,0.0,0.04094415826701347,-8.470329472543003e-21,3.9999999999999996e-05,1,1e-05
5,5e-05,PINN,1.0,0.023614401987288147,30.313222907003365,0.0008502139971824363,2.9030052246525884e-06,0.002284545228558965,0.025029493090109087,0.0022444139122724488,0.002260760936294162,325,30.30824374599615,30721,relative_patience,1.3547374020127751e-15,9.055256544598933e-16,1.9313978145657946e-15,1.2073350132146832e-14,-2.551737575580415e-15,0.21860687816495586,0,0.0,0.05116552859418804,0.0,0.05116552859418804,5.082197683525802e-21,5e-05,1,1e-05
