metric,full,last_layer,frozen
CFL_max,0.21985750834389278,0.2198756078459593,0.21874546708066825
R_xi_rmse_mean,1.9301564984987413e-15,1.9311644825001215e-15,1.930691638852305e-15
Smax_final,0.9828798668728016,0.9828798668728053,0.9828798668728007
Smin_final,0.0,0.0,0.0
final_S_max_abs_vs_full,0.0,0.45038564747352244,0.5040065997944051
final_S_rmse_vs_full,0.0,0.025316003782634457,0.02979397679131787
flux_s_mean,121.76128659080132,0.0054554464033572,0.021689000001060776
flux_s_sum,608.8064329540066,0.027277232016786,0.10844500000530388
pinn_rmse_final,0.002116834304495176,0.003106765531687417,0.003251748244244446
pinn_rmse_mean,0.0021484907395296106,0.002904576401495989,0.003008868457750151
pinn_wall_s_mean,121.75652276959735,0.0,0.016290467395447195
pinn_wall_s_sum,608.7826138479868,0.0,0.08145233697723597
solve_s_mean,0.02235062520194333,0.02235500940296333,0.021220455199363643
solve_s_sum,0.11175312600971665,0.11177504701481666,0.10610227599681821
transport_s_mean,0.4778860518039437,0.2939431995997438,0.29258101159357464
transport_s_sum,2.3894302590197185,1.469715997998719,1.4629050579678733
viz_s_mean,0.6787368208082626,0.433976367599098,0.41883024100097827
viz_s_sum,3.393684104041313,2.16988183799549,2.0941512050048914
