step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_iterations,pinn_wall_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,0.01,PINN,1.0,0.03181486899848096,0.08737305400427431,0.26492284498817753,0.40482582300319336,0.0,0.0,0.0025260527184056726,frozen,0.08111778099555522,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9323870941958035,0.0,0.9323870941958035,2.654126918244515e-16,0.010000000000000026,1000,1e-05
2,0.02,PINN,1.0,0.01894175999041181,0.006493648994364776,0.3039211629948113,0.3984800299949711,0.5178928853851592,0.0,0.003015434050468477,frozen,0.00010398899030406028,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9617072978418083,0.0,0.9617072978418083,2.654126918244515e-16,0.020000000000000052,1000,1e-05
3,0.03,PINN,1.0,0.018015399007708766,0.007658765011001378,0.3101645179995103,0.49709519700263627,0.21154328507070247,0.0,0.003069574077778396,frozen,8.17889958852902e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9729981166707645,0.0,0.9729981166707645,2.688821387764051e-16,0.030000000000000082,1000,1e-05
4,0.04,PINN,1.0,0.020586997998179868,0.003604351993999444,0.2873515199898975,0.3938089290022617,0.20019980955348726,0.0,0.0031815331978537636,frozen,7.869598630350083e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9790682263557104,0.0,0.9790682263557104,2.6194324487249787e-16,0.040000000000000105,1000,1e-05
5,0.05,PINN,1.0,0.016743250002036802,0.0033151800016639754,0.29654501199547667,0.3999412260018289,0.19306843578720836,0.0,0.003251748244244446,frozen,7.008200918789953e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9828798668728007,0.0,0.9828798668728007,2.6194324487249787e-16,0.05000000000000013,1000,1e-05
