step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_iterations,pinn_wall_s,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps
1,0.01,PINN,1.0,0.03105005799443461,103.89789149300486,0.38465270200686064,0.6632432510086801,0.0,0.0,0.0022158621268368746,1068,103.89400248399761,1.3542862103163857e-15,9.055256544598933e-16,1.930565788065827e-15,1.2073350132146832e-14,-2.2853626543278827e-15,0.21854275917436805,0,0.0,0.9323870941958036,0.0,0.9323870941958036,2.654126918244515e-16,0.010000000000000026,1000
2,0.02,PINN,1.0,0.022997566004050896,114.25381414900767,0.4721993410057621,0.631784396013245,0.5166229986356502,0.1552936286182308,0.00216237278226941,1075,114.25022734999948,1.3539274528696357e-15,9.055256544598933e-16,1.930184380587467e-15,1.207345855236408e-14,-1.8038599991975976e-15,0.2195426992397185,0,0.0,0.9617072978418084,0.0,0.9617072978418084,2.6194324487249787e-16,0.02000000000000005,1000
3,0.03,PINN,1.0,0.020430055999895558,123.14572355299606,0.4721822430001339,0.5818415700050537,0.21445028123662133,0.1300611043584994,0.0021286828574712735,1100,123.14106160300435,1.353578768398839e-15,9.055256544598933e-16,1.929341672638745e-15,1.2073350132146832e-14,-2.1536185378437378e-15,0.2195993743241516,0,0.0,0.9729981166707651,0.0,0.9729981166707651,2.723515857283587e-16,0.030000000000000082,1000
4,0.04,PINN,1.0,0.022124071008875035,136.99512129899813,0.4152983520034468,0.5465076110122027,0.18131657254875336,0.0978245807666951,0.002118701626575317,1251,136.99002615499194,1.3541089560919791e-15,9.055256544598933e-16,1.929865547970694e-15,1.2073350132146832e-14,-1.9841577382842535e-15,0.21965960363735862,0,0.0,0.9790682263557113,0.0,0.9790682263557113,2.6194324487249787e-16,0.040000000000000105,1000
5,0.05,PINN,1.0,0.015151375002460554,130.51388245999988,0.6450976210035151,0.9703072760021314,0.17998783266241883,0.08892822825810749,0.002116834304495176,1250,130.50729625599342,1.3543275864223705e-15,9.08995101411847e-16,1.930825103230975e-15,1.2073350132146832e-14,-1.8154016701368847e-15,0.21985750834389278,0,0.0,0.9828798668728016,0.0,0.9828798668728016,2.688821387764051e-16,0.050000000000000135,1000
