case,order,lambda_order,lambda_space,ref,h,h_lambda,h_lambda_arc,dofs,dofs_total,dofs_lambda,n_lambda,err_p_cg_l2,err_p_cg_h1,err_p_rec_l2,err_p_rec_h1,err_p_gamma_l2,err_p_gamma_h1,err_lam_h,err_lam_jump_cg,err_lam_jump_rec,err_q_cg,err_q_rec,mean_elem_cg,mean_elem_rec,max_elem_cg,max_elem_rec,mean_cv_cg,mean_cv_rec,max_cv_cg,max_cv_rec,mean_cv_frac_cg,mean_cv_frac_rec,t_solve,t_post,t_diag,t_total
order2_P0,2,0,DG0,3,0.125,0.25,0.35355339059327373,289,310,4,4,0.0027531229829303055,0.06652041684522617,0.0027715903222567053,0.07265167307310237,0.0012290821228335754,0.0425736265588752,0.3768953599130875,0.14382454564353053,0.15124257970545177,0.06652041684522617,0.07265167307310237,0.007008865796138151,0.013284132305324124,0.017969448188464743,0.029744208803122396,0.0002684409254991894,2.44702808710473e-10,0.0007166881186896103,8.953252670501621e-10,0.0005136376254311683,3.481147368052569e-10,0.5106725389923668,0.8794264110038057,0.44305447798979003,1.9159860770014348
order2_P0,2,0,DG0,4,0.0625,0.125,0.17677669529663698,1089,1130,8,8,0.0004105433501123622,0.02064291642034868,0.00041275405860349536,0.02188781760880391,0.00014835969699037636,0.010712306529232449,0.1916070660023653,0.07992298864134624,0.0796846337710418,0.02064291642034868,0.02188781760880391,0.000935104909577263,0.001783957405223387,0.0024625353653200087,0.003589080175853382,1.7882843954641834e-05,9.755100104808858e-13,0.00014263286342680592,3.678504549575745e-12,7.174037787081607e-05,1.4117745251290658e-12,0.9320669000007911,4.448056451001321,1.8881764710095013,7.520503193998593
order2_P0,2,0,DG0,5,0.03125,0.0625,0.08838834764831849,4225,4306,16,16,6.549817241329825e-05,0.006666687753147259,6.591126459126899e-05,0.00692381291192903,1.8370459975821797e-05,0.0026824743926246427,0.09555008377141676,0.041796121388953805,0.04153226725119074,0.006666687753147259,0.00692381291192903,0.00012019959773861221,0.00023014179268007466,0.0005958701754431826,0.0007923183522605647,1.2181325513786822e-06,4.217948031230956e-15,1.9545699971736108e-05,1.4782229260101865e-14,9.189999510918157e-06,5.662194217130667e-15,2.0320417469920358,18.53615475400875,7.558276471987483,29.002222791998065
order2_P0,2,0,DG0,6,0.015625,0.03125000000000011,0.044194173824159355,16641,16802,32,32,1.1116407704092019e-05,0.0022464127766691536,1.1198016610584033e-05,0.002300985010926762,2.290452387096801e-06,0.0006708949680468149,0.04769856591195003,0.022657351218514414,0.02268545634520614,0.0022464127766691536,0.002300985010926762,1.5300530540821713e-05,2.931964392427196e-05,0.0001474546797849939,0.0001962764518558778,8.789486327425513e-08,2.4382860570930716e-15,4.380310974378093e-06,1.2212141020651046e-12,1.1605309676585882e-06,1.4356355073600808e-13,4.296947789000114,68.49799517799693,28.201499527989654,104.5454167729913
order2_P0,2,0,DG0,7,0.0078125,0.01562500000000011,0.02209708691207979,66049,66370,64,64,1.932595946477988e-06,0.0007752408319966077,1.9480537182910076e-06,0.0007876400174501788,2.8609911805189123e-07,0.0001677410406888932,0.023836517869709334,0.01150270127940065,0.011506462222049861,0.0007752408319966077,0.0007876400174501788,1.933647928030715e-06,3.705802592216768e-06,3.670626397902013e-05,4.8895430351043184e-05,6.91475878758449e-09,2.00256797990716e-15,1.0851238068917209e-06,6.369491739599553e-12,1.4572663092019248e-07,1.7293080454006532e-13,22.14148786700389,274.636737740002,110.31246759899659,421.7460952519905
