case,order,lambda_order,lambda_space,ref,h,h_lambda,h_lambda_arc,dofs,dofs_total,dofs_lambda,n_lambda,err_p_cg_l2,err_p_cg_h1,err_p_rec_l2,err_p_rec_h1,err_p_gamma_l2,err_p_gamma_h1,err_lam_h,err_lam_jump_cg,err_lam_jump_rec,err_q_cg,err_q_rec,mean_elem_cg,mean_elem_rec,max_elem_cg,max_elem_rec,mean_cv_cg,mean_cv_rec,max_cv_cg,max_cv_rec,mean_cv_frac_cg,mean_cv_frac_rec,t_solve,t_post,t_diag,t_total
order1_P0,1,0,DG0,3,0.125,0.25,0.35355339059327373,81,94,4,4,0.03793413541334579,0.5613046233065874,0.03784740447611618,0.5567328503744879,0.05114011372702569,0.42871588671051475,0.4599698257666938,1.1057817391909959,1.0938668691030993,0.5613046233065874,0.5567328503744879,0.09655120367310259,0.09661148462817598,0.17663368173894434,0.17663368173894434,0.0027371298816793433,2.156828738298831e-08,0.004310631111307528,4.061281400069561e-08,0.0018121392209935908,1.3767110815441987e-08,0.4508498969953507,0.28465414499805775,0.15021157699811738,0.9562128800025675
order1_P0,1,0,DG0,4,0.0625,0.125,0.17677669529663698,289,314,8,8,0.009776346807506586,0.2807878015645553,0.009770784096352908,0.2801876928381562,0.013220775209219474,0.21251780231729336,0.20293121267167846,0.5958541663033499,0.591934626939231,0.2807878015645553,0.2801876928381562,0.024162598358640604,0.024165234227112108,0.044844108985537576,0.044844108985537576,0.00017924968934864357,8.607597921465408e-11,0.00035789458619264487,1.6829475486812573e-10,0.00031761123569789206,5.635216992113297e-11,0.5505576299910899,1.2018013420019997,0.6135026200063294,2.6363561320031295
order1_P0,1,0,DG0,5,0.03125,0.0625,0.08838834764831849,1089,1138,16,16,0.002461575617698121,0.14040778841335533,0.0024612260432037717,0.14033196584580052,0.003332703527943506,0.10597872683166011,0.09695088890160804,0.3078108783707754,0.30672076625894795,0.14040778841335533,0.14033196584580052,0.0060211088212216764,0.00602127732450179,0.01123440278999195,0.011234402789991957,1.132689985633308e-05,3.467276272025103e-13,4.916767487261886e-05,1.0469958233727539e-12,4.395779519793656e-05,4.662529812842603e-13,0.9803736499889055,5.115954373002751,2.6344239879981615,9.586231143999612
order1_P0,1,0,DG0,6,0.015625,0.03125000000000011,0.044194173824159355,4225,4322,32,32,0.000616432643515966,0.07020619062143213,0.0006164107689297548,0.07019668991736336,0.0008349000098958034,0.05295269950623978,0.04787018761400853,0.15648617484176425,0.15619776964618196,0.07020619062143213,0.07019668991736336,0.0014999649244969778,0.0014999751992471207,0.0028097955459158606,0.002809795545915857,7.103804191961815e-07,7.75957361552517e-15,7.02217871676597e-06,3.024282213548446e-12,5.718770267753736e-06,4.027306835028041e-13,3.5842250380082987,21.00559155800147,9.923528161001741,37.99042036800529
order1_P0,1,0,DG0,7,0.0078125,0.01562500000000011,0.02209708691207979,16641,16834,64,64,0.00015417126838891982,0.03510343471985816,0.00015416990084579735,0.03510224645587469,0.0002088328438115611,0.026471714808889733,0.023857626908754044,0.07881831084774091,0.07874456803256734,0.03510343471985816,0.03510224645587469,0.0003743181448984144,0.00037431875468311906,0.0007026295772484003,0.0007026295772484003,4.445419966652207e-08,2.938963730543388e-15,9.320665139665729e-07,2.7305900596186206e-12,7.275873993924962e-07,3.4251283781705826e-13,20.89595387899317,85.60862575699866,41.951639052989776,162.50376021199918
