case,order,lambda_order,lambda_space,ref,h,h_lambda,h_lambda_arc,dofs,dofs_total,dofs_lambda,n_lambda,err_p_cg_l2,err_p_cg_h1,err_p_rec_l2,err_p_rec_h1,err_p_gamma_l2,err_p_gamma_h1,err_lam_h,err_lam_jump_cg,err_lam_jump_rec,err_q_cg,err_q_rec,mean_elem_cg,mean_elem_rec,max_elem_cg,max_elem_rec,mean_cv_cg,mean_cv_rec,max_cv_cg,max_cv_rec,mean_cv_frac_cg,mean_cv_frac_rec,t_solve,t_post,t_diag,t_total
order2_P1,2,1,P1,3,0.125,0.25,0.35355339059327373,289,311,5,5,0.0009791455211122777,0.044308306982610145,0.0009563538804467158,0.05224195778744907,0.0012260338743897447,0.042572545422728474,0.1144647209654182,0.2259571554342081,0.22924788580973218,0.044308306982610145,0.05224195778744907,0.006515725162408838,0.012620411922166926,0.01801208405275423,0.029849848664122824,0.0002590302201211964,2.447028267747268e-10,0.0006245798234082167,8.953251803139883e-10,0.00041146690093734847,3.481141353188037e-10,0.63151378899056,0.968860595006845,0.4462440329953097,2.1164952510007424
order2_P1,2,1,P1,4,0.0625,0.125,0.17677669529663698,1089,1131,9,9,9.737665739064699e-05,0.01074052904858825,9.246867733823966e-05,0.012767760907697344,0.00014813609404626258,0.010712186247443325,0.021832400674767796,0.09382275235387114,0.09436511666595046,0.01074052904858825,0.012767760907697344,0.0008398788907414021,0.0016597576760161215,0.0019907755033422188,0.003589255085875504,1.60884662903867e-05,9.75645868120771e-13,9.920369019900122e-05,3.678525366257457e-12,5.300208376603638e-05,1.4154967765508057e-12,0.8861880009935703,3.7613373010099167,1.705129981986829,6.594992685000761
order2_P1,2,1,P1,5,0.03125,0.0625,0.08838834764831849,4225,4307,17,17,1.1369981978861509e-05,0.0026649289401576145,1.0715726685256038e-05,0.0031768126350212025,1.8356222961520044e-05,0.0026824520654101973,0.005038463185691822,0.045478540976675794,0.045874585679749426,0.0026649289401576145,0.0031768126350212025,0.00010525337199163276,0.00020963040007979358,0.00023288738185336423,0.0004410624951637302,1.008384733913407e-06,7.054280949860559e-15,1.3712939723894979e-05,2.8814702360269173e-12,6.7701475592667875e-06,1.8397893954279452e-13,1.842756769998232,16.815339088003384,6.940102745997137,26.45768997599953
order2_P1,2,1,P1,6,0.015625,0.03125000000000011,0.044194173824159355,16641,16803,33,33,1.3840181109707854e-06,0.0006637322050116652,1.3010694958242843e-06,0.0007923780576823911,2.2894948541594595e-06,0.0006708897185733244,0.0012278236147289867,0.02334834606752376,0.02351225980941935,0.0006637322050116652,0.0007923780576823911,1.3185474890712907e-05,2.632527441087288e-05,2.917740530652819e-05,5.457212303695705e-05,6.324573854018728e-08,1.3365154717895614e-15,1.7945538465929944e-06,1.1160863899739581e-13,8.54458760245484e-07,4.216090834853082e-15,4.304417231003754,65.38100997400761,28.15953296200314,101.32400769600645
order2_P1,2,1,P1,7,0.0078125,0.01562500000000011,0.02209708691207979,66049,66371,65,65,1.7085611346331992e-07,0.0001655898037549381,1.6043355881837552e-07,0.00019784100235922266,2.860295833770504e-07,0.0001677397445445055,0.0003041384206675434,0.011675871554854965,0.011720412365684343,0.0001655898037549381,0.00019784100235922266,1.6500407571450034e-06,3.2974637787381213e-06,3.885362498461042e-06,6.913968223213488e-06,3.960909694650659e-09,1.4336092845591196e-15,2.2927577797426935e-07,1.155436857303016e-12,1.072990747434011e-07,2.782006009023995e-14,21.963622316994588,273.5211796260119,113.38881805600249,423.5542153349961
