step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,R_xi_int_mean_abs,R_xi_int_median_abs,R_xi_int_rmse,R_xi_int_max_abs,R_xi_int_sum,R_xi_src_mean_abs,R_xi_src_median_abs,R_xi_src_rmse,R_xi_src_max_abs,R_xi_src_sum,R_xi_bnd_mean_abs,R_xi_bnd_median_abs,R_xi_bnd_rmse,R_xi_bnd_max_abs,R_xi_bnd_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,1e-05,PINN,1.0,0.03826007699535694,0.04272602101264056,0.0049412359949201345,5.987996701151133e-06,0.0,0.0,0.0019532319193774164,0.0019695719055893893,direct,0.028910363995237276,0.0,0.027652929988107644,0.0,0.0,4096,direct_pou_previous,1.3933762471512945e-15,9.731798700229888e-16,1.9604110201393847e-15,1.1905840896497821e-14,-3.0157354478227427e-15,1.399932928888327e-15,9.86623976961809e-16,1.954024016732059e-15,1.1905840896497821e-14,1.7354553124432348e-15,2.112893193739751e-15,1.3322676295501878e-15,2.7044778509532344e-15,5.773159728050814e-15,-2.7755575615628914e-17,1.2917220681892558e-15,7.376911581591372e-16,2.0568987417383917e-15,1.1319179100965915e-14,-4.7511907602659775e-15,0.2186123161473706,0,0.0,0.01024,0.0,0.01024,0.0,1e-05,1,1e-05
2,2e-05,PINN,1.0,0.03108954700292088,0.017725422003422864,0.0008603080059401691,4.0969898691400886e-06,0.0022467771002218995,0.006066933508230239,0.0019467844367378334,0.00195333168277378,direct,0.011382128010154702,0.0,0.010035669998615049,0.0,0.0,4096,direct_pou_previous,1.3896718811747725e-15,9.575673587391975e-16,1.960669912658238e-15,1.2247906681916998e-14,-1.7521520258995116e-15,1.3954688445881016e-15,9.749145934989656e-16,1.9537129301800254e-15,1.2247906681916998e-14,-4.661906711361796e-15,2.345346139520643e-15,2.3314683517128287e-15,2.783214477779228e-15,5.384581669432009e-15,-3.1086244689504383e-15,1.299796303879839e-15,7.691872312698411e-16,2.065534657596468e-15,1.1260306922999952e-14,2.9097546854622847e-15,0.21861767822750053,0,0.0,0.020478904042811663,0.0,0.020478904042811663,-3.3881317890172014e-21,1.9999999999999998e-05,1,1e-05
3,3.0000000000000004e-05,PINN,1.0,0.04418833399540745,0.03572950100351591,0.0006690550071652979,3.1429954105988145e-06,0.002259939083204355,0.0039043196331029345,0.00194310510385419,0.0019468853360416396,direct,0.027198527997825295,0.0,0.02175427599286195,0.0,0.0,4096,direct_pou_previous,1.3867562145401564e-15,9.454242944073599e-16,1.9565768735839045e-15,1.1951377387742212e-14,-4.5081261857218835e-15,1.3928288334685877e-15,9.610368056911511e-16,1.949090402624806e-15,1.1951377387742212e-14,-2.365607167618966e-15,1.817990202823694e-15,1.0269562977782698e-15,2.5336371282480638e-15,5.662137425588298e-15,-1.1102230246251565e-16,1.2926068999817813e-15,7.291259609965017e-16,2.0691839168115452e-15,1.1285243572967119e-14,-2.1425190181029174e-15,0.21862208606145722,0,0.0,0.030714430042600847,0.0,0.030714430042600847,1.6940658945086007e-21,3e-05,1,1e-05
4,4e-05,PINN,1.0,0.0534134979970986,0.017300436011282727,0.0006880870059831068,3.1289964681491256e-06,0.0022725419064128782,0.0028892421791402575,0.0019406569992525388,0.0019432068810311465,direct,0.010878428991418332,0.0,0.0096027050021803,0.0,0.0,4096,direct_pou_previous,1.3856293339359995e-15,9.467253370143425e-16,1.9626401272104007e-15,1.1826260457037385e-14,1.1448903890903805e-15,1.3911971658812723e-15,9.575673587391975e-16,1.9545037425966195e-15,1.1826260457037385e-14,-1.0773988038531579e-15,1.7555401576885288e-15,9.020562075079397e-16,2.5235832752467814e-15,5.440092820663267e-15,-1.8318679906315083e-15,1.299306189440734e-15,7.77047697020361e-16,2.0847271518811043e-15,1.1223660889569942e-14,2.2222891929435384e-15,0.21862621431793447,0,0.0,0.04094415826701347,0.0,0.04094415826701347,1.6940658945086007e-21,4e-05,1,1e-05
5,5e-05,PINN,1.0,0.02884872499271296,0.03082278098736424,0.004828352990443818,4.439003532752395e-06,0.002284544368330466,0.002325065335165616,0.0019388854304638636,0.0019407594649802544,direct,0.02353079299791716,0.0,0.018183131993282586,0.0,0.0,4096,direct_pou_previous,1.3862549923665946e-15,9.52363188311267e-16,1.949746776747942e-15,1.206153232846674e-14,-1.7944901207350705e-16,1.3910068602637391e-15,9.731798700229888e-16,1.9400743013859347e-15,1.206153232846674e-14,-4.36682753759271e-15,1.7832957333041577e-15,1.3877787807814457e-15,2.5086572662032114e-15,5.551115123125783e-15,-4.996003610813204e-16,1.3125824779768795e-15,7.088513803710228e-16,2.0939996514679654e-15,1.129565191382298e-14,4.187378525519203e-15,0.21863027839619592,0,0.0,0.05116552859418804,0.0,0.05116552859418804,-8.470329472543003e-21,4.9999999999999996e-05,1,1e-05
6,6.000000000000001e-05,PINN,1.0,0.044770291991881095,0.020054102002177387,0.0008366230031242594,3.145003574900329e-06,0.0022959049382309652,0.001977658959122706,0.0019375349452577038,0.0019389884498262067,direct,0.011842346997582354,0.0,0.01059511500352528,0.0,0.0,4096,direct_pou_previous,1.391931374540726e-15,9.54097911787244e-16,1.9619961841430078e-15,1.1777579779492786e-14,4.393173650384108e-15,1.3982474541145855e-15,9.697104230710352e-16,1.9555497144186293e-15,1.1777579779492786e-14,-2.3036450134614195e-15,1.904726376622534e-15,9.43689570931383e-16,2.551570081440804e-15,5.440092820663267e-15,-1.2490009027033011e-15,1.2940074689600663e-15,7.26415455565288e-16,2.059361542398503e-15,1.127765415775972e-14,6.696818663845527e-15,0.2186343436125882,0,0.0,0.061375838406578995,0.0,0.061375838406578995,5.082197683525802e-21,6e-05,1,1e-05
7,7.000000000000001e-05,PINN,1.0,0.03414322300523054,0.03469704600865953,0.0008081139967544004,3.453998942859471e-06,0.002306582007732164,0.0017479261555902264,0.001936468707164305,0.0019376384134055478,direct,0.024344346005818807,0.0,0.022988358003203757,0.0,0.0,4096,direct_pou_previous,1.3861598520221095e-15,9.471590178833367e-16,1.9652154688026133e-15,1.2257122400383125e-14,-1.0876851719646141e-15,1.3913440310224942e-15,9.64939933512099e-16,1.957107857884335e-15,1.2257122400383125e-14,1.4116447811032828e-15,2.220446049250313e-15,1.5681900222830336e-15,2.6807130397511952e-15,5.551115123125783e-15,-4.440892098500626e-15,1.305784826816927e-15,7.54387871615414e-16,2.086889184248905e-15,1.1288713019919072e-14,-2.499329953067897e-15,0.2186384282005563,0,0.0,0.07157224122634255,0.0,0.07157224122634255,-8.470329472543003e-21,7e-05,1,1e-05
8,8e-05,PINN,1.0,0.030011156006366946,0.01832412999647204,0.0007599959935760126,3.6860001273453236e-06,0.0023165341720432883,0.0015876908829933268,0.0019356053985053088,0.001936572532176246,direct,0.011528165996423922,0.0,0.010250755993183702,0.0,0.0,4096,direct_pou_previous,1.3948310090970637e-15,9.58434720477186e-16,1.9627093957123213e-15,1.1863557011770887e-14,-2.426823932782929e-15,1.400746531244218e-15,9.731798700229888e-16,1.9549050288614802e-15,1.1863557011770887e-14,-5.977992623487638e-15,1.7728873924482969e-15,1.1102230246251565e-15,2.45877823154687e-15,5.6066262743570405e-15,-7.494005416219807e-16,1.3031173083077863e-15,7.450637329320386e-16,2.0799645083453224e-15,1.1295001392519488e-14,3.551168690704709e-15,0.21864253540167336,0,0.0,0.08175174620150871,0.0,0.08175174620150871,1.1858461261560205e-20,8e-05,1,1e-05
9,9e-05,PINN,1.0,0.05397753200668376,0.030873801006237045,0.0008459910022793338,3.6270066630095243e-06,0.002325720540814296,0.001471180443475212,0.0019348929380800012,0.0019357094924370502,direct,0.01562382499105297,0.0,0.014295312998001464,0.0,0.0,4096,direct_pou_previous,1.4004472597507058e-15,9.610368056911511e-16,1.9712049676371494e-15,1.221559745717693e-14,-1.3430283361121065e-15,1.4050646074665414e-15,9.777335191474279e-16,1.96279520375501e-15,1.221559745717693e-14,-6.365893055748639e-15,2.01574867908505e-15,1.2073675392798577e-15,2.6751933344799117e-15,5.384581669432009e-15,-1.8041124150158794e-15,1.328860333640739e-15,7.929854689558979e-16,2.0972792979104674e-15,1.1277437317325223e-14,5.022864719636533e-15,0.2186466638300563,0,0.0,0.09191121855505825,0.0,0.09191121855505825,-1.5246593050577406e-20,8.999999999999999e-05,1,1e-05
10,0.0001,PINN,1.0,0.02905262699641753,0.01861392499995418,0.005062630007159896,5.692010745406151e-06,0.0023341010766081537,0.0013835475992002447,0.001934296067311077,0.0019349972129666852,direct,0.012216464994708076,0.0,0.01096276199677959,0.0,0.0,4096,direct_pou_previous,1.3966325938454763e-15,9.749145934989656e-16,1.9685897147064376e-15,1.1930560706030491e-14,-2.35380291646603e-16,1.401100856927748e-15,9.93129189996722e-16,1.9615317903609983e-15,1.1930560706030491e-14,-8.441869165515259e-16,2.220446049250313e-15,1.7763568394002505e-15,2.6902871094006364e-15,5.551115123125783e-15,-4.440892098500626e-16,1.3273570619175994e-15,7.945033519973776e-16,2.0749459203211515e-15,1.1251850146054565e-14,6.088066249049229e-16,0.21865081083187185,0,0.0,0.10204738110994338,0.0,0.10204738110994338,-1.6940658945086007e-21,9.999999999999999e-05,1,1e-05
