step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,1e-05,PINN,1.0,0.023581524001201615,0.008770986009039916,0.0005296259914757684,3.7389982026070356e-06,0.0,0.0,0.0025242899761119086,0.0025260527184056726,direct,0.0018478229903848842,0.0007660529954591766,0.000752337000449188,0.00022066800738684833,0.00010133400792255998,96,direct_last_layer,1.3530121909673976e-15,9.02706728811431e-16,1.929600962429938e-15,1.206825438193615e-14,-1.8707163097243795e-15,0.2187355920959264,0,0.0,0.01024,0.0,0.01024,0.0,1e-05,1,1e-05
2,2e-05,PINN,1.0,0.02411927600041963,0.019995775001007132,0.0011939370015170425,3.44999716617167e-06,0.0022467771002218995,0.0005581438392576584,0.0025243995126527584,0.0025244067040998343,direct,0.005545007006730884,0.0012545630015665665,0.003914611996151507,0.00023032999888528138,0.0001279639982385561,96,direct_last_layer,1.355355812648078e-15,9.079108992393614e-16,1.930078343477086e-15,1.2072591190626092e-14,-2.213757877098793e-15,0.21873939878697196,0,0.0,0.020478904042811663,0.0,0.020478904042811663,-3.3881317890172014e-21,1.9999999999999998e-05,1,1e-05
3,3.0000000000000004e-05,PINN,1.0,0.056039631002931856,0.017451250008889474,0.0005604210018645972,2.4000037228688598e-06,0.0022599393677488447,0.0005588390792769244,0.00252454571809932,0.0025245529270557865,direct,0.002139143005479127,0.0006823770090704784,0.0011149269994348288,0.00023560199770145118,9.947500075213611e-05,96,direct_last_layer,1.3542702760729188e-15,9.046582927219049e-16,1.9297083236639716e-15,1.2076927999316034e-14,-2.6472219056584978e-15,0.21874321363449156,0,0.0,0.030714430042600847,0.0,0.030714430042600847,1.6940658945086007e-21,3e-05,1,1e-05
4,4e-05,PINN,1.0,0.030376288006664254,0.010402550993603654,0.000644965999526903,2.815999323502183e-06,0.0022725435740576687,0.000559290610336715,0.002524728575765258,0.002524735795852831,direct,0.0020878649957012385,0.0007818559970473871,0.0010018559987656772,0.00021324300905689597,8.484299178235233e-05,96,direct_last_layer,1.3569137790929525e-15,9.098624631498353e-16,1.9324774065858387e-15,1.2077795361054022e-14,-1.123917853316364e-15,0.21874703487201724,0,0.0,0.04094415826701347,0.0,0.04094415826701347,-5.082197683525802e-21,3.9999999999999996e-05,1,1e-05
5,5e-05,PINN,1.0,0.025892916004522704,0.009666202997323126,0.0004849620017921552,2.4229957489296794e-06,0.0022845493454260748,0.0005594886830721929,0.0025249479842974327,0.00252495520887207,direct,0.0018404290021862835,0.000730639003450051,0.0008303900103783235,0.00020093699276912957,7.328300853259861e-05,96,direct_last_layer,1.3577615866994512e-15,9.11380346191315e-16,1.9327452952289016e-15,1.2070856467150115e-14,-2.037032922983656e-15,0.21875086065256286,0,0.0,0.05116552859418804,0.0,0.05116552859418804,5.082197683525802e-21,5e-05,1,1e-05
