step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,0.01,PINN,1.0,0.02545181599271018,0.010355225997045636,0.39468760100135114,3.749009920284152e-06,0.0,0.0,0.0025242899761119086,0.0025260527184056726,direct,0.0021826890006195754,0.0008382919913856313,0.001010819003568031,0.00023762699856888503,8.284099749289453e-05,96,direct_last_layer,1.3530121909673976e-15,9.02706728811431e-16,1.929600962429938e-15,1.206825438193615e-14,-1.8707163097243795e-15,0.2187355920959264,0,0.0,0.9323870941958032,0.0,0.9323870941958032,2.636779683484747e-16,0.010000000000000024,1000,1e-05
2,0.02,PINN,1.0,0.02550341399910394,0.008614232006948441,0.411794824001845,3.0189985409379005e-06,0.517938523373999,0.07851095446472758,0.0028945918721017564,0.0030161355283266677,direct,0.0019704949954757467,0.0007584800041513517,0.0008846669952617958,0.00024195799778681248,7.591400935780257e-05,96,direct_last_layer,1.3564778175501575e-15,9.124645483638005e-16,1.932422066742409e-15,1.2088203701909883e-14,-2.2329482555517866e-15,0.2195163353696061,0,0.0,0.96170729784181,0.0,0.96170729784181,2.636779683484747e-16,0.02000000000000005,1000,1e-05
3,0.03,PINN,1.0,0.020294988004025072,0.007980034992215224,0.3780714780004928,2.7269998099654913e-06,0.21171489229242144,0.039080462895015586,0.0029386579281774168,0.0029687902219256565,direct,0.0019168200087733567,0.0007359739975072443,0.0008953429933171719,0.00020043300173711032,7.879699114710093e-05,96,direct_last_layer,1.3565842987135206e-15,9.1550031444676e-16,1.931336760879996e-15,1.206825438193615e-14,-1.0272951109571715e-15,0.21963812561668117,0,0.0,0.9729981166707687,0.0,0.9729981166707687,2.7582103268031233e-16,0.030000000000000086,1000,1e-05
4,0.04,PINN,1.0,0.022057255991967395,0.010091456002555788,0.37731136300135404,2.6420020731166005e-06,0.2011959026301139,0.026716879380145154,0.0030585766994014464,0.0030721464687744737,direct,0.002165850004530512,0.0007628919993294403,0.000989979991572909,0.00031337600375991315,9.215199679601938e-05,96,direct_last_layer,1.3567570942366853e-15,9.08995101411847e-16,1.932404116751336e-15,1.208549319647867e-14,-2.9749965511916e-15,0.21974886739421284,0,0.0,0.9790682263557147,0.0,0.9790682263557147,2.5847379792054426e-16,0.040000000000000105,1000,1e-05
5,0.05,PINN,1.0,0.024949223006842658,0.00844657901325263,0.3730332470004214,3.1709932954981923e-06,0.19314815362489965,0.03298748002414028,0.003106765531687417,0.003127110304550595,direct,0.003151696000713855,0.0009781480039237067,0.0015429159975610673,0.0003951029939344153,0.00022653200721833855,96,direct_last_layer,1.3561007798292782e-15,9.08995101411847e-16,1.930058505696927e-15,1.2080289026050739e-14,-2.0755966390062497e-15,0.2198756078459593,0,0.0,0.9828798668728053,0.0,0.9828798668728053,2.688821387764051e-16,0.050000000000000135,1000,1e-05
