step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,0.01,PINN,1.0,0.035010921012144536,0.07363672400242649,0.26505837199511006,2.9099901439622045e-06,0.0,0.0,0.0025260527184056726,0.0025260527184056726,frozen,0.06772856799943838,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9323870941958035,0.0,0.9323870941958035,2.654126918244515e-16,0.010000000000000026,1000,1e-05
2,0.02,PINN,1.0,0.014940877008484676,0.003244280000217259,0.24416785399080254,2.2790045477449894e-06,0.5178928853851592,0.0,0.003015434050468477,0.003015434050468477,frozen,6.832499639131129e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9617072978418083,0.0,0.9617072978418083,2.654126918244515e-16,0.020000000000000052,1000,1e-05
3,0.03,PINN,1.0,0.013547855007345788,0.003786529996432364,0.2528009459929308,1.91100116353482e-06,0.21154328507070247,0.0,0.003069574077778396,0.003069574077778396,frozen,6.644599488936365e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9729981166707645,0.0,0.9729981166707645,2.688821387764051e-16,0.030000000000000082,1000,1e-05
4,0.04,PINN,1.0,0.01621631599846296,0.0073141729953931645,0.26474593199964147,1.9400031305849552e-06,0.20019980955348726,0.0,0.0031815331978537636,0.0031815331978537636,frozen,7.629800529684871e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9790682263557104,0.0,0.9790682263557104,2.6194324487249787e-16,0.040000000000000105,1000,1e-05
5,0.05,PINN,1.0,0.0145607239974197,0.004673468007240444,0.26456546199915465,2.5990011636167765e-06,0.19306843578720836,0.0,0.003251748244244446,0.003251748244244446,frozen,6.909298826940358e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.9828798668728007,0.0,0.9828798668728007,2.6194324487249787e-16,0.05000000000000013,1000,1e-05
