step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,0.01,PINN,1.0,0.030248417999246158,30.26425559799827,0.4051435189903714,4.639994585886598e-06,0.0,0.0,0.0023725514096236628,0.0025260527184056726,329,30.253839757991955,30721,optimizer_done,1.3542483402251184e-15,9.055256544598933e-16,1.9301724922538824e-15,1.2073350132146832e-14,-1.9327258977269723e-15,0.21850559302907657,0,0.0,0.9323870941958036,0.0,0.9323870941958036,2.654126918244515e-16,0.010000000000000026,1000,1e-05
2,0.02,PINN,1.0,0.01796028700482566,29.928723809003714,0.41540471601183526,4.219007678329945e-06,0.5166354066515549,0.15221442477233774,0.002359110649029272,0.0028673780944131104,323,29.92353685099806,30721,optimizer_done,1.3535179183538328e-15,9.037909309839165e-16,1.930119348639314e-15,1.2073350132146832e-14,-2.4767378902987303e-15,0.21955836666717057,0,0.0,0.9617072978418084,0.0,0.9617072978418084,2.688821387764051e-16,0.020000000000000056,1000,1e-05
3,0.03,PINN,1.0,0.017063961990061216,30.952237256002263,0.4139395210077055,1.5646000974811614e-05,0.2141244234580277,0.12789759827949715,0.0023373209674701673,0.0027105814662533173,320,30.94772914799978,30721,optimizer_done,1.3549631438112624e-15,9.08995101411847e-16,1.9314372896027247e-15,1.207345855236408e-14,-1.8205109728747226e-15,0.21954664717073155,0,0.0,0.9729981166707651,0.0,0.9729981166707651,2.5847379792054426e-16,0.030000000000000075,1000,1e-05
4,0.04,PINN,1.0,0.018578447998152114,29.960407601000043,0.4042595059872838,3.9030128391459584e-06,0.18221487576784856,0.09824206685125893,0.002322581372916168,0.002551928333403746,319,29.955917015002342,30721,optimizer_done,1.3541785150390513e-15,9.055256544598933e-16,1.931048287972293e-15,1.207345855236408e-14,-1.9449773822760585e-15,0.21975576755632,0,0.0,0.979068226355711,0.0,0.979068226355711,2.688821387764051e-16,0.040000000000000105,1000,1e-05
5,0.05,PINN,1.0,0.02057713200338185,30.59010663299705,0.3868580129928887,4.931993316859007e-06,0.18018924481352006,0.08989833110064235,0.0023170949142585075,0.0025105954321056967,319,30.585917169009917,30721,optimizer_done,1.353694630477153e-15,9.08995101411847e-16,1.928865725079964e-15,1.207345855236408e-14,-1.929730789225481e-15,0.2198963738294961,0,0.0,0.9828798668728016,0.0,0.9828798668728016,2.688821387764051e-16,0.050000000000000135,1000,1e-05
