step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,1e-05,PINN,1.0,0.040518356996471994,16.366591967991553,0.0009249150025425479,6.097005098126829e-06,0.0,0.0,0.002483011332562616,0.0025260527184056726,320,16.358729786996264,9409,optimizer_done,1.3543283835355063e-15,9.061761757633846e-16,1.9300719630667227e-15,1.207345855236408e-14,-1.9540643517342027e-15,0.21866699334127299,0,0.0,0.01024,0.0,0.01024,0.0,1e-05,1,1e-05
2,2e-05,PINN,1.0,0.02292456099530682,17.169700822996674,0.0005810790025861934,3.335007932037115e-06,0.0022467771002218995,0.022505506497102507,0.0024711408218827655,0.0024830993187429356,376,17.164733495999826,9409,optimizer_done,1.3537169977604333e-15,9.055256544598933e-16,1.930384877413784e-15,1.207345855236408e-14,-2.1779453240888813e-15,0.21871713727592537,0,0.0,0.020478904042811663,0.0,0.020478904042811663,-3.3881317890172014e-21,1.9999999999999998e-05,1,1e-05
3,3.0000000000000004e-05,PINN,1.0,0.022507999994559214,3.4304530509980395,0.0005763099907198921,2.6939960662275553e-06,0.0022599392023047275,0.0,0.002471239540355088,0.002471239540355088,76,3.4258588930097176,9409,relative_patience,1.3537169977604333e-15,9.055256544598933e-16,1.930384877413784e-15,1.207345855236408e-14,-2.1779453240888813e-15,0.21871713727592537,0,0.0,0.030714430042600847,0.0,0.030714430042600847,1.6940658945086007e-21,3e-05,1,1e-05
4,4e-05,PINN,1.0,0.026297759992303327,3.539700893990812,0.0009670900035416707,4.372006515040994e-06,0.0022725431001561947,0.0,0.002471390638824651,0.002471390638824651,76,3.5350622440018924,9409,relative_patience,1.3537169977604333e-15,9.055256544598933e-16,1.930384877413784e-15,1.207345855236408e-14,-2.1779453240888813e-15,0.21871713727592537,0,0.0,0.04094415826701347,0.0,0.04094415826701347,-5.082197683525802e-21,3.9999999999999996e-05,1,1e-05
5,5e-05,PINN,1.0,0.025800572999287397,3.6502993710018927,0.0009713949984870851,3.412991645745933e-06,0.0022845487179684763,0.0,0.0024715940605573522,0.0024715940605573522,76,3.6457198739954038,9409,relative_patience,1.3537169977604333e-15,9.055256544598933e-16,1.930384877413784e-15,1.207345855236408e-14,-2.1779453240888813e-15,0.21871713727592537,0,0.0,0.05116552859418804,0.0,0.05116552859418804,5.082197683525802e-21,5e-05,1,1e-05
