step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,0.01,PINN,1.0,0.033967445997404866,16.770605555997463,0.415423667000141,4.911009455099702e-06,0.0,0.0,0.002483011332562616,0.0025260527184056726,320,16.766552241999307,9409,optimizer_done,1.3543283835355063e-15,9.061761757633846e-16,1.9300719630667227e-15,1.207345855236408e-14,-1.9540643517342027e-15,0.21866699334127299,0,0.0,0.9323870941958035,0.0,0.9323870941958035,2.6194324487249787e-16,0.010000000000000023,1000,1e-05
2,0.02,PINN,1.0,0.019733637003810145,15.132964267002535,0.3939449149911525,3.192006261087954e-06,0.5176220726163169,0.12889694604376772,0.0026245911092566093,0.0029738620298124466,317,15.128287603001809,9409,optimizer_done,1.3542099508876182e-15,9.020562075079397e-16,1.9300266463093262e-15,1.2073350132146832e-14,-1.901472076039183e-15,0.21952915106792245,0,0.0,0.9617072978418083,0.0,0.9617072978418083,2.688821387764051e-16,0.020000000000000052,1000,1e-05
3,0.03,PINN,1.0,0.020255544994142838,15.138737999994191,0.396289443000569,2.5049957912415266e-06,0.21430370651505654,0.09896314360847842,0.0026097532386264665,0.0028251282043132275,322,15.135269017002429,9409,optimizer_done,1.3544545439306096e-15,9.055256544598933e-16,1.9312992119758696e-15,1.2073350132146832e-14,-1.8252272523250346e-15,0.2196034445097441,0,0.0,0.9729981166707645,0.0,0.9729981166707645,2.654126918244515e-16,0.03000000000000008,1000,1e-05
4,0.04,PINN,1.0,0.016990402989904396,15.231698222007253,0.4181517499964684,2.3470056476071477e-06,0.19112662489918036,0.08242403113702507,0.0026342601342758927,0.0027806227666600236,315,15.228020328999264,9409,optimizer_done,1.3533943674216504e-15,9.055256544598933e-16,1.9292386994540814e-15,1.2073675392798577e-14,-1.9968293511751778e-15,0.21961136026193412,0,0.0,0.9790682263557107,0.0,0.9790682263557107,2.654126918244515e-16,0.040000000000000105,1000,1e-05
5,0.05,PINN,1.0,0.020331708001322113,15.774330614993232,0.396769540006062,3.020002623088658e-06,0.18513542300912117,0.07608046284870344,0.002609880210906157,0.002736538820278721,327,15.770793089002836,9409,optimizer_done,1.3538600787663648e-15,9.055256544598933e-16,1.929587720764621e-15,1.2073675392798577e-14,-2.3064571628463038e-15,0.21985427087088058,0,0.0,0.9828798668728007,0.0,0.9828798668728007,2.6194324487249787e-16,0.05000000000000013,1000,1e-05
