step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,1e-05,PINN,1.0,0.027870781006640755,0.05632002699712757,0.0005912140040891245,2.439002855680883e-06,0.0,0.0,0.0025260527184056726,0.0025260527184056726,frozen,0.053225158000714146,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.01024,0.0,0.01024,0.0,1e-05,1,1e-05
2,2e-05,PINN,1.0,0.020435336002265103,0.0030680619966005906,0.0003363349969731644,1.930005964823067e-06,0.0022467771002218995,0.0,0.0025261748094656086,0.0025261748094656086,frozen,5.8307996368967e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.020478904042811663,0.0,0.020478904042811663,-3.3881317890172014e-21,1.9999999999999998e-05,1,1e-05
3,3.0000000000000004e-05,PINN,1.0,0.011751557001844049,0.0030550090014003217,0.00027528099599294364,1.9459985196590424e-06,0.002259939440921494,0.0,0.002526347966987083,0.002526347966987083,frozen,5.154700193088502e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.030714430042600847,0.0,0.030714430042600847,1.6940658945086007e-21,3e-05,1,1e-05
4,4e-05,PINN,1.0,0.01560973099549301,0.003886927996063605,0.0002786800032481551,1.9550061551854014e-06,0.00227254406874799,0.0,0.0025265721931459714,0.0025265721931459714,frozen,5.992299702484161e-05,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.04094415826701347,0.0,0.04094415826701347,-5.082197683525802e-21,3.9999999999999996e-05,1,1e-05
5,5e-05,PINN,1.0,0.020319770002970472,0.011496690000058152,0.0003033009998034686,1.8999999156221747e-06,0.0022845509284473505,0.0,0.0025268473773098405,0.0025268473773098405,frozen,0.00011751899728551507,0,no_update,1.3542179536950001e-15,9.055256544598933e-16,1.930691638852305e-15,1.207345855236408e-14,-1.81445299323596e-15,0.21874546708066825,0,0.0,0.05116552859418804,0.0,0.05116552859418804,-1.6940658945086007e-21,4.9999999999999996e-05,1,1e-05
