method,n_steps,total_solve_s,total_flux_s,total_transport_s,mean_flux_s,median_flux_s,max_flux_s,mean_R_xi_int_rmse,final_R_xi_int_rmse,mean_R_xi_bnd_rmse,final_R_xi_bnd_rmse
CG,10000,173.14875879934698,50.23513768828707,4.426900123085943,0.005023513768828707,0.0046626734983874485,0.019784687989158556,0.006014286465557652,0.005917861229305932,0.0012681738106162632,0.0013015717149241306
Frozen,10000,166.51130543586623,48.921683591397596,4.419900193810463,0.004892168359139759,0.00448067450633971,0.08229986501100939,1.922663457144714e-15,1.9226634571447137e-15,2.0511436533656235e-15,2.0511436533656228e-15
NLR@1,10000,162.91432255304244,547.6507071805972,4.2462223948095925,0.05476507071805972,0.0553442954987986,0.15764366700022947,1.930574523194147e-15,1.6840364741342834e-15,0.0013638604057538664,0.00140082242339969
Linear,10000,165.8060837432422,66.2012866497098,4.407715839144657,0.00662012866497098,0.006241870003577787,0.026216247002594173,1.9239007659326898e-15,1.9253970621877367e-15,2.0509357517579116e-15,2.0511138363949672e-15
PoU@1,10000,430.25794270609913,283.735120460522,13.689683466451243,0.0283735120460522,0.02159892000054242,0.1290565749950474,2.1254109118565966e-15,2.2074259455964203e-15,2.639051290187185e-15,2.7261127979382816e-15
PINN full @1000,10,0.1850532360112993,929.8137405150046,4.037042696014396,92.98137405150047,101.38042782699631,122.074244894,1.922337225428763e-15,1.922958738904881e-15,2.0491225242408413e-15,2.049287467281218e-15
NLR@1000,10,0.17887910100398585,0.6074190060171532,2.796116248006001,0.06074190060171532,0.06366685800458072,0.06854911500704475,1.9175531293370358e-15,1.7001776424983016e-15,0.0013613999583867973,0.0013744369050399216
