time,group,pair,method,reference,l2,rmse,max_abs,top5_energy_frac,area_halfmax,pattern
0.01,conservation,CG vs NLR@1,CG,NLR@1,0.006695994097373491,0.006695994097373491,0.15777710860048466,0.9999999999999999,0.002197265625,front-localized
0.01,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.00900543635799739,0.00900543635799739,0.22944981556820507,1.0000000000000002,0.001708984375,front-localized
0.01,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.009385180180906874,0.009385180180906874,0.23000914187859897,1.0,0.001953125,front-localized
0.01,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.0010138585985128036,0.0010138585985128036,0.032097607916507426,1.0,0.0009765625,front-localized
0.01,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.009325911944420782,0.009325911944420782,0.2337611188873178,1.0,0.001708984375,front-localized
0.01,update expressiveness,Linear vs Frozen,Linear,Frozen,0.003508975804761592,0.003508975804761592,0.10519374177014662,0.9999999999999998,0.0009765625,front-localized
0.01,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.0075222299033033055,0.0075222299033033055,0.18283514724955727,0.9999999999999999,0.002197265625,front-localized
0.01,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.009157494561248578,0.009157494561248578,0.22390550688460675,1.0,0.001953125,front-localized
0.01,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.0007822540480682594,0.0007822540480682594,0.02422638868670468,1.0000000000000002,0.000732421875,front-localized
0.01,CG anchor,Frozen vs CG,Frozen,CG,0.010831979044253476,0.010831979044253476,0.22137023423558622,0.9999999999999999,0.0029296875,front-localized
0.01,CG anchor,Linear vs CG,Linear,CG,0.009497842479827177,0.009497842479827177,0.1741962396065445,0.9999999999999997,0.00390625,front-localized
0.01,CG anchor,PoU@1 vs CG,PoU@1,CG,0.006631161636354405,0.006631161636354405,0.15766909047506672,1.0,0.002197265625,front-localized
0.01,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.010816144236498446,0.010816144236498446,0.22512221124430504,1.0,0.0029296875,front-localized
0.01,CG anchor,NLR@1 vs CG,NLR@1,CG,0.006695994097373491,0.006695994097373491,0.15777710860048466,0.9999999999999999,0.002197265625,front-localized
0.02,conservation,CG vs NLR@1,CG,NLR@1,0.009616184746962454,0.009616184746962454,0.19893153675284392,0.9999999999999934,0.003173828125,front-localized
0.02,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.0061899906729399184,0.0061899906729399184,0.20452059089841382,0.9999999999999603,0.001220703125,front-localized
0.02,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.01618018533674176,0.01618018533674176,0.419863701853047,0.9999999999991794,0.001220703125,front-localized
0.02,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.0016118958761102136,0.0016118958761102136,0.048574814360023436,0.9999999999999947,0.0009765625,front-localized
0.02,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.006553245909297918,0.006553245909297918,0.21541296862758894,0.9999999999999236,0.0009765625,front-localized
0.02,update expressiveness,Linear vs Frozen,Linear,Frozen,0.006584393631428353,0.006584393631428353,0.14717812190505453,0.9999999999999694,0.002197265625,front-localized
0.02,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.012544496280437906,0.012544496280437906,0.3711516276748802,0.9999999999998064,0.001220703125,front-localized
0.02,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.015851499277112744,0.015851499277112744,0.4132210025553375,0.9999999999990096,0.00146484375,front-localized
0.02,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.0013238700704268616,0.0013238700704268616,0.03445228941375167,0.9999999999999822,0.001708984375,front-localized
0.02,CG anchor,Frozen vs CG,Frozen,CG,0.01798922705088263,0.01798922705088263,0.41616375329668337,0.9999999999915197,0.00146484375,front-localized
0.02,CG anchor,Linear vs CG,Linear,CG,0.015079832755479859,0.015079832755479859,0.3674516791185166,0.9999999999990726,0.00146484375,front-localized
0.02,CG anchor,PoU@1 vs CG,PoU@1,CG,0.009545598381692617,0.009545598381692617,0.19655445866808463,0.9999999999999931,0.003173828125,front-localized
0.02,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.011195796688216207,0.011195796688216207,0.21171302007122533,0.9999999999998229,0.003662109375,front-localized
0.02,CG anchor,NLR@1 vs CG,NLR@1,CG,0.009616184746962454,0.009616184746962454,0.19893153675284392,0.9999999999999934,0.003173828125,front-localized
0.03,conservation,CG vs NLR@1,CG,NLR@1,0.012364823368539373,0.012364823368539373,0.24258011422623638,0.9999639384000583,0.003173828125,front-localized
0.03,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.006173079218027363,0.006173079218027363,0.13540182192987626,0.9999661243792481,0.001953125,front-localized
0.03,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.02162533697289349,0.02162533697289349,0.49247006011913985,0.9999845891475861,0.00244140625,front-localized
0.03,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.0017749660677889394,0.0017749660677889394,0.041832263798030456,0.9999037611247424,0.00146484375,front-localized
