time,group,pair,method,reference,l2,rmse,max_abs,top5_energy_frac,area_halfmax,pattern
0.03,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.006552983429922724,0.006552983429922724,0.14492580381901818,0.9999699816695251,0.001953125,front-localized
0.03,update expressiveness,Linear vs Frozen,Linear,Frozen,0.00863316945266604,0.00863316945266604,0.18755459977575437,0.999968492641335,0.00244140625,front-localized
0.03,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.017488333580992187,0.017488333580992187,0.4582620030030687,0.9999788551751927,0.001953125,front-localized
0.03,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.021328140578793706,0.021328140578793706,0.4884949122990905,0.9999833721543344,0.00244140625,front-localized
0.03,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.0015767242808179482,0.0015767242808179482,0.03278327546382892,0.9999519582785439,0.001953125,front-localized
0.03,CG anchor,Frozen vs CG,Frozen,CG,0.024308967231803296,0.024308967231803296,0.4969129080727912,0.999782623302988,0.00244140625,front-localized
0.03,CG anchor,Linear vs CG,Linear,CG,0.020788457323580176,0.020788457323580176,0.46270485095672004,0.9998086565150921,0.002197265625,front-localized
0.03,CG anchor,PoU@1 vs CG,PoU@1,CG,0.012249160927335948,0.012249160927335948,0.24061350026883666,0.9999696385772617,0.003173828125,front-localized
0.03,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.01380711634922584,0.01380711634922584,0.24135574308692287,0.9998924017691562,0.00390625,front-localized
0.03,CG anchor,NLR@1 vs CG,NLR@1,CG,0.012364823368539373,0.012364823368539373,0.24258011422623638,0.9999639384000583,0.003173828125,front-localized
0.04,conservation,CG vs NLR@1,CG,NLR@1,0.014516032392181008,0.014516032392181008,0.2677728274436678,0.9976549860931637,0.00341796875,front-localized
0.04,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.005217264191297378,0.005217264191297378,0.0990539580962591,0.9993036540033333,0.0029296875,front-localized
0.04,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.026606354019516235,0.026606354019516235,0.49965210980986624,0.9995663452698283,0.003173828125,front-localized
0.04,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.0021255247384740876,0.0021255247384740876,0.06567157206987259,0.9991265201846549,0.00048828125,front-localized
0.04,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.0058707335970270185,0.0058707335970270185,0.11028391271858769,0.9993187334140993,0.003173828125,front-localized
0.04,update expressiveness,Linear vs Frozen,Linear,Frozen,0.010791660842674928,0.010791660842674928,0.20714701481407405,0.9991436447423102,0.00244140625,front-localized
0.04,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.022161240373822732,0.022161240373822732,0.44017642255871076,0.9996918060105779,0.0029296875,front-localized
0.04,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.026168833432978864,0.026168833432978864,0.4990843366698792,0.999492406743335,0.0029296875,front-localized
0.04,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.002242356485526176,0.002242356485526176,0.07653653053919282,0.9994020515076324,0.000732421875,front-localized
0.04,CG anchor,Frozen vs CG,Frozen,CG,0.029895127037396118,0.029895127037396118,0.5006017524086538,0.9956619382859526,0.003173828125,front-localized
0.04,CG anchor,Linear vs CG,Linear,CG,0.025837761633169216,0.025837761633169216,0.44001328044333887,0.9961897896814034,0.00341796875,front-localized
0.04,CG anchor,PoU@1 vs CG,PoU@1,CG,0.014491898070555263,0.014491898070555263,0.26606276860703126,0.9978594904584901,0.003173828125,front-localized
0.04,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.015534323284505573,0.015534323284505573,0.2669375958804604,0.9960199363680887,0.003173828125,front-localized
0.04,CG anchor,NLR@1 vs CG,NLR@1,CG,0.014516032392181008,0.014516032392181008,0.2677728274436678,0.9976549860931637,0.00341796875,front-localized
0.05,conservation,CG vs NLR@1,CG,NLR@1,0.01667423511149594,0.01667423511149594,0.2841579547138908,0.9879428009983343,0.004150390625,front-localized
0.05,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.004588575914395831,0.004588575914395831,0.08061778420370652,0.9967125062373514,0.003173828125,front-localized
0.05,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.03190700817509441,0.03190700817509441,0.5216133570383626,0.9980906976983861,0.00439453125,front-localized
0.05,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.002226285942805061,0.002226285942805061,0.04076073883207221,0.9965170907751072,0.00341796875,front-localized
0.05,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.005190588935819482,0.005190588935819482,0.0914749201965861,0.9968275081908154,0.0029296875,front-localized
0.05,update expressiveness,Linear vs Frozen,Linear,Frozen,0.013383501892290237,0.013383501892290237,0.23485689558720574,0.9978930805665657,0.003662109375,front-localized
0.05,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.026589015134576083,0.026589015134576083,0.44243911496388655,0.9986308879865068,0.0048828125,front-localized
0.05,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.03148758438807915,0.03148758438807915,0.5198161259230519,0.9979041539681114,0.00439453125,front-localized
0.05,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.002072245716810477,0.002072245716810477,0.04500196357412006,0.9977345638947073,0.00244140625,front-localized
0.05,CG anchor,Frozen vs CG,Frozen,CG,0.03575509521112411,0.03575509521112411,0.5274513617197485,0.9830548567480716,0.00537109375,front-localized
0.05,CG anchor,Linear vs CG,Linear,CG,0.030678322509478665,0.030678322509478665,0.44827711964527245,0.9843173319324171,0.0048828125,front-localized
0.05,CG anchor,PoU@1 vs CG,PoU@1,CG,0.016623399282714075,0.016623399282714075,0.28250230554987865,0.988235377082525,0.004150390625,front-localized
0.05,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.01728484551952004,0.01728484551952004,0.2831862312290817,0.98510391780417,0.004150390625,front-localized
0.05,CG anchor,NLR@1 vs CG,NLR@1,CG,0.01667423511149594,0.01667423511149594,0.2841579547138908,0.9879428009983343,0.004150390625,front-localized
0.06,conservation,CG vs NLR@1,CG,NLR@1,0.018777785527551,0.018777785527551,0.2956801358109854,0.97389862214275,0.00439453125,front-localized
0.06,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.005143193453612583,0.005143193453612583,0.0994078367705522,0.9937715817328372,0.002197265625,front-localized
0.06,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.036215863071381846,0.036215863071381846,0.5727560676649652,0.9947189764475683,0.004638671875,front-localized
0.06,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.00256636029431029,0.00256636029431029,0.040837926536041014,0.9953627421381546,0.00390625,front-localized
0.06,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.005824090522473775,0.005824090522473775,0.11821395860350853,0.9945387278107708,0.00146484375,front-localized
0.06,update expressiveness,Linear vs Frozen,Linear,Frozen,0.01738150448060833,0.01738150448060833,0.3466747625247421,0.9974490280766511,0.002685546875,front-localized
0.06,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.029587838236913567,0.029587838236913567,0.5221535068909506,0.9961418432433468,0.0029296875,front-localized
0.06,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.03589297593663642,0.03589297593663642,0.5716470317447088,0.9944466590084025,0.003662109375,front-localized
0.06,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.002127294379127726,0.002127294379127726,0.04936353023423862,0.9955227545867024,0.001220703125,front-localized
0.06,CG anchor,Frozen vs CG,Frozen,CG,0.04078253595800538,0.04078253595800538,0.5782830620562167,0.9681843177532256,0.004638671875,front-localized
0.06,CG anchor,Linear vs CG,Linear,CG,0.03441838757291044,0.03441838757291044,0.5276805012822021,0.9674723340483898,0.0029296875,front-localized
0.06,CG anchor,PoU@1 vs CG,PoU@1,CG,0.018728799169810937,0.018728799169810937,0.2940497003493856,0.9736901028676822,0.00439453125,front-localized
0.06,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.019374972330303,0.019374972330303,0.29456421861876847,0.976099403314428,0.00439453125,front-localized
0.06,CG anchor,NLR@1 vs CG,NLR@1,CG,0.018777785527551,0.018777785527551,0.2956801358109854,0.97389862214275,0.00439453125,front-localized
0.07,conservation,CG vs NLR@1,CG,NLR@1,0.0208407442979716,0.0208407442979716,0.3044034663048827,0.9558940154958554,0.0048828125,front-localized
0.07,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.0068350232124454275,0.0068350232124454275,0.1750930258563624,0.9944250369999976,0.00146484375,front-localized
0.07,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.0397496053119191,0.0397496053119191,0.5723893876460598,0.9908608530170467,0.005859375,front-localized
0.07,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.0031931303980480075,0.0031931303980480075,0.07272955645746132,0.9936618380955097,0.001220703125,front-localized
0.07,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.0076178295528334505,0.0076178295528334505,0.16840032127025822,0.9927421033947857,0.001708984375,front-localized
0.07,update expressiveness,Linear vs Frozen,Linear,Frozen,0.021880993901802405,0.021880993901802405,0.33997004705555556,0.9962663482562766,0.004638671875,front-localized
0.07,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.031951894403793826,0.031951894403793826,0.46274572652132995,0.9880681387033983,0.005126953125,front-localized
0.07,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.03941820373571819,0.03941820373571819,0.5722862801083775,0.9911673495303099,0.005859375,front-localized
0.07,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.0022154375668817445,0.0022154375668817445,0.0510089174856907,0.9937186748753803,0.001220703125,front-localized
0.07,CG anchor,Frozen vs CG,Frozen,CG,0.044995976037307595,0.044995976037307595,0.573550593695669,0.9565815671705328,0.006591796875,front-localized
0.07,CG anchor,Linear vs CG,Linear,CG,0.03747337569817064,0.03747337569817064,0.49979909286579416,0.9418247597912086,0.0048828125,front-localized
0.07,CG anchor,PoU@1 vs CG,PoU@1,CG,0.020786400351201557,0.020786400351201557,0.30284241344897245,0.9558780805548446,0.0048828125,front-localized
0.07,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.021711572442802564,0.021711572442802564,0.3032935265623714,0.9615262070034514,0.00537109375,front-localized
0.07,CG anchor,NLR@1 vs CG,NLR@1,CG,0.0208407442979716,0.0208407442979716,0.3044034663048827,0.9558940154958554,0.0048828125,front-localized
0.08,conservation,CG vs NLR@1,CG,NLR@1,0.022838130558044952,0.022838130558044952,0.31112992004348694,0.9361496471607285,0.005615234375,front-localized
0.08,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.00795883048377192,0.00795883048377192,0.2101959495246219,0.9936865695003042,0.000732421875,front-localized
0.08,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.04376646723812151,0.04376646723812151,0.5933348206203818,0.977585912008464,0.005126953125,front-localized
0.08,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.0034531734386201727,0.0034531734386201727,0.10240332059303867,0.9915774517957303,0.000732421875,front-localized
0.08,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.0085617307547713,0.0085617307547713,0.20036297271179188,0.9910894626792615,0.001708984375,front-localized
0.08,update expressiveness,Linear vs Frozen,Linear,Frozen,0.025958966301386215,0.025958966301386215,0.37102277495921626,0.9935955220661673,0.00634765625,front-localized
0.08,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.03482005329971846,0.03482005329971846,0.5313346084644439,0.9786521668094466,0.0029296875,front-localized
0.08,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.04350180359820995,0.04350180359820995,0.5922734272550318,0.9772590841300958,0.005126953125,front-localized
0.08,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.0021392094744937342,0.0021392094744937342,0.042466977142742834,0.9864484658992303,0.001708984375,front-localized
0.08,CG anchor,Frozen vs CG,Frozen,CG,0.04938812540197859,0.04938812540197859,0.6009911827926329,0.9334278327525992,0.006103515625,front-localized
0.08,CG anchor,Linear vs CG,Linear,CG,0.040666375004923434,0.040666375004923434,0.538990970636695,0.9221930807658967,0.004150390625,front-localized
0.08,CG anchor,PoU@1 vs CG,PoU@1,CG,0.022786247054877366,0.022786247054877366,0.30965320892187653,0.9387625600056156,0.005615234375,front-localized
0.08,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.023584414890017787,0.023584414890017787,0.30997847879024654,0.9427874191084269,0.00634765625,front-localized
0.08,CG anchor,NLR@1 vs CG,NLR@1,CG,0.022838130558044952,0.022838130558044952,0.31112992004348694,0.9361496471607285,0.005615234375,front-localized
0.09,conservation,CG vs NLR@1,CG,NLR@1,0.024606886235217604,0.024606886235217604,0.31666178775505816,0.9159567964786336,0.0062255859375,front-localized
0.09,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.006327797781071569,0.006327797781071569,0.13266620180862984,0.9838075489710836,0.00244140625,front-localized
0.09,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.0425239946852611,0.0425239946852611,0.567078561536429,0.9587996075547843,0.006591796875,front-localized
0.09,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.0035740816217795894,0.0035740816217795894,0.10861766635622083,0.9893133766979185,0.000732421875,front-localized
0.09,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.007264995137142828,0.007264995137142828,0.1583059917806751,0.9802186712901766,0.00146484375,front-localized
0.09,update expressiveness,Linear vs Frozen,Linear,Frozen,0.026175857556783085,0.026175857556783085,0.4100037533483595,0.987574070765714,0.00439453125,front-localized
0.09,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.03813801961379972,0.03813801961379972,0.56188666288529,0.958865432574473,0.004150390625,front-localized
0.09,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.042326268410026534,0.042326268410026534,0.5638575445661032,0.9576432353937748,0.006591796875,front-localized
0.09,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.0020918187897868506,0.0020918187897868506,0.040426367768946314,0.9778427034096531,0.00244140625,front-localized
0.09,CG anchor,Frozen vs CG,Frozen,CG,0.04924303494137186,0.04924303494137186,0.5888298473094423,0.9120360932350705,0.0074462890625,front-localized
0.09,CG anchor,Linear vs CG,Linear,CG,0.04394696160602872,0.04394696160602872,0.5458212076227452,0.9015896896595269,0.005615234375,front-localized
0.09,CG anchor,PoU@1 vs CG,PoU@1,CG,0.024547024253684723,0.024547024253684723,0.3152716202781535,0.9194250879700487,0.0062255859375,front-localized
0.09,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.025136998781802016,0.025136998781802016,0.3155502074965133,0.9239266832442539,0.0064697265625,front-localized
0.09,CG anchor,NLR@1 vs CG,NLR@1,CG,0.024606886235217604,0.024606886235217604,0.31666178775505816,0.9159567964786336,0.0062255859375,front-localized
0.10,conservation,CG vs NLR@1,CG,NLR@1,0.02589554861140551,0.02589554861140551,0.3219534207900656,0.9040799760595526,0.0068359375,front-localized
0.10,staleness,NLR@1000 vs NLR@1,NLR@1000,NLR@1,0.006827779138922623,0.006827779138922623,0.17534402310333425,0.9828505708585723,0.0009765625,front-localized
0.10,staleness,Frozen vs NLR@1,Frozen,NLR@1,0.03431995639831437,0.03431995639831437,0.5872781260060583,0.9307250011756683,0.002197265625,front-localized
0.10,method matched cadence,PINN full @1000 vs NLR@1000,PINN full @1000,NLR@1000,0.003500701261614541,0.003500701261614541,0.09415900570049435,0.9861596386592472,0.000732421875,front-localized
0.10,method vs NLR@1,PINN full @1000 vs NLR@1,PINN full @1000,NLR@1,0.007621414223879205,0.007621414223879205,0.17100491826159137,0.9781291920381943,0.001708984375,front-localized
0.10,update expressiveness,Linear vs Frozen,Linear,Frozen,0.028120990794463063,0.028120990794463063,0.5291214254145514,0.980056949571778,0.002197265625,front-localized
0.10,update expressiveness,Linear vs NLR@1,Linear,NLR@1,0.038462679812343796,0.038462679812343796,0.5902605590579542,0.942077139702355,0.00341796875,front-localized
0.10,update expressiveness,PoU@1 vs Frozen,PoU@1,Frozen,0.03423463578839463,0.03423463578839463,0.5754978777707637,0.9294519356741601,0.00244140625,front-localized
0.10,method matched cadence,PoU@1 vs NLR@1,PoU@1,NLR@1,0.0020516649778196637,0.0020516649778196637,0.037824235425830965,0.9761655497934812,0.002685546875,front-localized
0.10,CG anchor,Frozen vs CG,Frozen,CG,0.04194448195514265,0.04194448195514265,0.5301351138239738,0.8752878305836536,0.00390625,front-localized
0.10,CG anchor,Linear vs CG,Linear,CG,0.0438714038837748,0.0438714038837748,0.5331175468758697,0.8730626249747969,0.00537109375,front-localized
0.10,CG anchor,PoU@1 vs CG,PoU@1,CG,0.02580903010672519,0.02580903010672519,0.32064595635894233,0.9067265305696093,0.006591796875,front-localized
0.10,CG anchor,PINN full @1000 vs CG,PINN full @1000,CG,0.026320524804332574,0.026320524804332574,0.320886090765374,0.9107584465486251,0.007080078125,front-localized
0.10,CG anchor,NLR@1 vs CG,NLR@1,CG,0.02589554861140551,0.02589554861140551,0.3219534207900656,0.9040799760595526,0.0068359375,front-localized
