iteration,normalized_loss,flux_L2_vs_exact
0,0.0013754162151732878,0.030792893463122056
50,0.0013486112982022732,
100,0.0013264962920758847,
150,0.0013095496972620555,
200,0.0012960695965454061,
250,0.001283592278112402,0.0250791279677167
300,0.00127069503084131,
350,0.0012586302295998957,
400,0.0012456569719792921,
450,0.001229729302418056,
500,0.0012197140458111199,0.020244499046159187
550,0.001212324445983382,
600,0.0012071822866651196,
650,0.001203073432832468,
700,0.0011986017181463172,
750,0.0011940123489511151,0.017863692117972854
800,0.0011900992897507646,
850,0.0011859624647453783,
900,0.0011830092189624103,
950,0.0011797919812030384,
1000,0.001176826762457717,0.015949243980249276
1050,0.0011742324460374065,
1100,0.001171805429116994,
1150,0.001169457425505747,
1200,0.0011673136326897401,
1250,0.0011650487344534715,0.01460039660753691
1300,0.0011628573922595614,
1350,0.0011612993495721707,
1400,0.0011594634517586113,
1450,0.0011578795832909302,
1500,0.0011563264412388762,0.013587337571430255
1550,0.001154418366847062,
1600,0.0011532349503463575,
1650,0.0011520752614218044,
1700,0.001150978087489457,
1750,0.0011502258303255114,0.012849811861365707
1800,0.0011493835738747885,
1850,0.001148514548805634,
1900,0.0011477449509204763,
1950,0.0011470010159315002,
2000,0.0011462716593499053,0.012172530759983785
